year month day evapotransp_mgb
1980 01 01 3.385
1980 01 02 3.194
1980 01 03 2.970
1980 01 04 2.944
1980 01 05 3.155
1980 01 06 3.231
1980 01 07 3.275
1980 01 08 3.401
1980 01 09 3.400
1980 01 10 3.398
1980 01 11 3.397
1980 01 12 3.395
1980 01 13 3.394
1980 01 14 3.392
1980 01 15 3.380
1980 01 16 3.388
1980 01 17 3.386
1980 01 18 3.384
1980 01 19 3.382
1980 01 20 3.380
1980 01 21 3.377
1980 01 22 3.375
1980 01 23 3.372
1980 01 24 3.370
1980 01 25 3.367
1980 01 26 3.364
1980 01 27 3.361
1980 01 28 3.356
1980 01 29 3.355
1980 01 30 3.242
1980 01 31 3.348
1980 02 01 3.536
1980 02 02 3.541
1980 02 03 3.537
1980 02 04 3.508
1980 02 05 3.329
1980 02 06 3.102
1980 02 07 3.519
1980 02 08 3.514
1980 02 09 3.507
1980 02 10 3.381
1980 02 11 3.133
1980 02 12 3.164
1980 02 13 3.488
1980 02 14 3.483
1980 02 15 3.469
1980 02 16 3.471
1980 02 17 3.465
1980 02 18 3.459
1980 02 19 3.453
1980 02 20 3.446
1980 02 21 3.339
1980 02 22 3.433
1980 02 23 3.426
1980 02 24 3.419
1980 02 25 3.412
1980 02 26 3.405
1980 02 27 3.397
1980 02 28 3.390
1980 02 29 3.302
1980 03 01 3.083
1980 03 02 3.022
1980 03 03 3.101
1980 03 04 2.998
1980 03 05 3.092
1980 03 06 2.980
1980 03 07 2.972
1980 03 08 3.034
1980 03 09 3.075
1980 03 10 3.324
1980 03 11 3.420
1980 03 12 3.410
1980 03 13 3.401
1980 03 14 3.391
1980 03 15 3.381
1980 03 16 3.371
1980 03 17 3.361
1980 03 18 2.900
1980 03 19 3.340
1980 03 20 3.262
1980 03 21 2.972
1980 03 22 2.864
1980 03 23 2.893
1980 03 24 2.800
1980 03 25 2.804
1980 03 26 2.780
1980 03 27 2.774
1980 03 28 2.756
1980 03 29 2.745
1980 03 30 3.061
1980 03 31 3.208
1980 04 01 3.280
1980 04 02 3.229
1980 04 03 3.221
1980 04 04 3.209
1980 04 05 3.197
1980 04 06 3.185
1980 04 07 3.157
1980 04 08 3.087
1980 04 09 3.148
1980 04 10 3.136
1980 04 11 3.124
1980 04 12 3.112
1980 04 13 3.099
1980 04 14 3.087
1980 04 15 3.075
1980 04 16 3.033
1980 04 17 2.976
1980 04 18 2.611
1980 04 19 2.564
1980 04 20 2.552
1980 04 21 2.568
1980 04 22 2.528
1980 04 23 2.517
1980 04 24 2.505
1980 04 25 2.500
1980 04 26 2.482
1980 04 27 2.470
1980 04 28 2.459
1980 04 29 2.448
1980 04 30 2.447
1980 05 01 2.833
1980 05 02 2.668
1980 05 03 2.731
1980 05 04 2.718
1980 05 05 2.304
1980 05 06 2.284
1980 05 07 2.281
1980 05 08 2.264
1980 05 09 2.292
1980 05 10 2.290
1980 05 11 2.284
1980 05 12 2.404
1980 05 13 2.483
1980 05 14 2.206
1980 05 15 2.197
1980 05 16 2.218
1980 05 17 2.255
1980 05 18 2.301
1980 05 19 2.414
1980 05 20 2.307
1980 05 21 2.147
1980 05 22 2.241
1980 05 23 2.533
1980 05 24 2.196
1980 05 25 2.118
1980 05 26 2.111
1980 05 27 2.104
1980 05 28 2.098
1980 05 29 2.092
1980 05 30 2.112
1980 05 31 2.080
1980 06 01 2.203
1980 06 02 2.437
1980 06 03 2.474
1980 06 04 2.465
1980 06 05 2.138
1980 06 06 2.074
1980 06 07 2.151
1980 06 08 2.065
1980 06 09 2.061
1980 06 10 2.065
1980 06 11 2.061
1980 06 12 2.047
1980 06 13 2.214
1980 06 14 2.424
1980 06 15 2.037
1980 06 16 2.033
1980 06 17 2.029
1980 06 18 2.025
1980 06 19 2.021
1980 06 20 2.024
1980 06 21 2.072
1980 06 22 2.392
1980 06 23 2.336
1980 06 24 2.394
1980 06 25 2.397
1980 06 26 2.401
1980 06 27 2.430
1980 06 28 2.212
1980 06 29 2.149
1980 06 30 2.100
1980 07 01 2.266
1980 07 02 2.261
1980 07 03 2.252
1980 07 04 2.378
1980 07 05 2.312
1980 07 06 2.255
1980 07 07 2.290
1980 07 08 2.256
1980 07 09 2.257
1980 07 10 2.259
1980 07 11 2.284
1980 07 12 2.261
1980 07 13 2.263
1980 07 14 2.264
1980 07 15 2.268
1980 07 16 2.275
1980 07 17 2.269
1980 07 18 2.271
1980 07 19 2.273
1980 07 20 2.276
1980 07 21 2.278
1980 07 22 2.280
1980 07 23 2.301
1980 07 24 2.334
1980 07 25 2.288
1980 07 26 2.290
1980 07 27 2.292
1980 07 28 2.295
1980 07 29 2.347
1980 07 30 2.299
1980 07 31 2.439
1980 08 01 2.593
1980 08 02 2.613
1980 08 03 2.652
1980 08 04 2.670
1980 08 05 2.611
1980 08 06 2.789
1980 08 07 2.905
1980 08 08 2.605
1980 08 09 2.612
1980 08 10 2.604
1980 08 11 2.682
1980 08 12 2.661
1980 08 13 2.886
1980 08 14 2.817
1980 08 15 2.627
1980 08 16 2.668
1980 08 17 2.663
1980 08 18 2.658
1980 08 19 2.650
1980 08 20 2.647
1980 08 21 2.604
1980 08 22 2.621
1980 08 23 2.646
1980 08 24 2.791
1980 08 25 2.670
1980 08 26 2.945
1980 08 27 2.970
1980 08 28 2.864
1980 08 29 2.780
1980 08 30 2.617
1980 08 31 2.615
1980 09 01 2.474
1980 09 02 2.608
1980 09 03 2.662
1980 09 04 2.697
1980 09 05 2.693
1980 09 06 2.714
1980 09 07 2.620
1980 09 08 2.530
1980 09 09 2.527
1980 09 10 2.717
1980 09 11 2.930
1980 09 12 2.939
1980 09 13 2.859
1980 09 14 2.710
1980 09 15 2.547
1980 09 16 2.814
1980 09 17 2.827
1980 09 18 2.936
1980 09 19 2.971
1980 09 20 2.995
1980 09 21 3.006
1980 09 22 3.082
1980 09 23 2.763
1980 09 24 2.672
1980 09 25 2.804
1980 09 26 2.827
1980 09 27 2.648
1980 09 28 3.070
1980 09 29 3.071
1980 09 30 2.651
1980 10 01 2.464
1980 10 02 2.606
1980 10 03 2.489
1980 10 04 2.480
1980 10 05 2.773
1980 10 06 2.543
1980 10 07 2.740
1980 10 08 2.936
1980 10 09 2.967
1980 10 10 2.992
1980 10 11 2.996
1980 10 12 3.010
1980 10 13 3.124
1980 10 14 3.039
1980 10 15 2.709
1980 10 16 2.693
1980 10 17 2.999
1980 10 18 2.677
1980 10 19 2.645
1980 10 20 2.634
1980 10 21 2.609
1980 10 22 2.596
1980 10 23 3.012
1980 10 24 3.065
1980 10 25 3.085
1980 10 26 2.958
1980 10 27 2.840
1980 10 28 2.974
1980 10 29 2.828
1980 10 30 3.079
1980 10 31 3.117
1980 11 01 2.729
1980 11 02 2.555
1980 11 03 2.767
1980 11 04 2.874
1980 11 05 2.931
1980 11 06 2.800
1980 11 07 2.938
1980 11 08 2.979
1980 11 09 3.095
1980 11 10 3.162
1980 11 11 3.238
1980 11 12 3.299
1980 11 13 3.291
1980 11 14 3.040
1980 11 15 2.854
1980 11 16 2.825
1980 11 17 2.901
1980 11 18 2.853
1980 11 19 3.218
1980 11 20 3.285
1980 11 21 3.291
1980 11 22 3.311
1980 11 23 3.314
1980 11 24 3.337
1980 11 25 3.439
1980 11 26 3.428
1980 11 27 3.159
1980 11 28 3.293
1980 11 29 3.442
1980 11 30 3.439
1980 12 01 3.132
1980 12 02 3.235
1980 12 03 3.296
1980 12 04 3.316
1980 12 05 3.322
1980 12 06 3.328
1980 12 07 3.335
1980 12 08 3.338
1980 12 09 3.344
1980 12 10 3.338
1980 12 11 3.290
1980 12 12 3.342
1980 12 13 3.350
1980 12 14 3.365
1980 12 15 3.369
1980 12 16 3.206
1980 12 17 2.983
1980 12 18 3.245
1980 12 19 3.270
1980 12 20 3.159
1980 12 21 3.347
1980 12 22 3.367
1980 12 23 3.368
1980 12 24 3.368
1980 12 25 3.368
1980 12 26 3.370
1980 12 27 3.371
1980 12 28 3.370
1980 12 29 3.370
1980 12 30 3.370
1980 12 31 3.370
1981 01 01 3.385
1981 01 02 3.406
1981 01 03 3.406
1981 01 04 3.405
1981 01 05 3.400
1981 01 06 3.403
1981 01 07 3.402
1981 01 08 3.401
1981 01 09 3.400
1981 01 10 3.398
1981 01 11 3.397
1981 01 12 3.395
1981 01 13 3.394
1981 01 14 3.392
1981 01 15 3.390
1981 01 16 3.388
1981 01 17 3.386
1981 01 18 3.369
1981 01 19 3.378
1981 01 20 3.361
1981 01 21 3.377
1981 01 22 3.375
1981 01 23 3.372
1981 01 24 3.362
1981 01 25 3.367
1981 01 26 3.364
1981 01 27 3.361
1981 01 28 3.340
1981 01 29 3.200
1981 01 30 3.186
1981 01 31 3.323
1981 02 01 3.460
1981 02 02 3.331
1981 02 03 3.482
1981 02 04 3.474
1981 02 05 3.328
1981 02 06 3.524
1981 02 07 3.519
1981 02 08 3.496
1981 02 09 3.509
1981 02 10 3.504
1981 02 11 3.499
1981 02 12 3.494
1981 02 13 3.413
1981 02 14 3.278
1981 02 15 3.014
1981 02 16 3.006
1981 02 17 2.996
1981 02 18 3.023
1981 02 19 3.061
1981 02 20 3.446
1981 02 21 3.435
1981 02 22 3.345
1981 02 23 3.004
1981 02 24 3.044
1981 02 25 2.991
1981 02 26 3.238
1981 02 27 3.093
1981 02 28 3.072
1981 03 01 3.242
1981 03 02 3.240
1981 03 03 3.280
1981 03 04 3.464
1981 03 05 3.484
1981 03 06 3.475
1981 03 07 3.466
1981 03 08 3.457
1981 03 09 3.448
1981 03 10 3.420
1981 03 11 3.307
1981 03 12 3.181
1981 03 13 2.966
1981 03 14 3.050
1981 03 15 3.197
1981 03 16 3.381
1981 03 17 3.371
1981 03 18 3.361
1981 03 19 3.350
1981 03 20 3.215
1981 03 21 3.329
1981 03 22 3.163
1981 03 23 2.953
1981 03 24 2.811
1981 03 25 3.052
1981 03 26 3.172
1981 03 27 3.242
1981 03 28 3.253
1981 03 29 3.242
1981 03 30 3.231
1981 03 31 3.054
1981 04 01 3.008
1981 04 02 2.988
1981 04 03 2.886
1981 04 04 2.821
1981 04 05 3.091
1981 04 06 3.000
1981 04 07 2.872
1981 04 08 2.863
1981 04 09 2.892
1981 04 10 2.823
1981 04 11 2.672
1981 04 12 2.660
1981 04 13 2.665
1981 04 14 2.688
1981 04 15 2.856
1981 04 16 3.075
1981 04 17 3.028
1981 04 18 2.798
1981 04 19 2.576
1981 04 20 2.585
1981 04 21 2.552
1981 04 22 2.543
1981 04 23 2.608
1981 04 24 2.972
1981 04 25 2.861
1981 04 26 2.495
1981 04 27 2.485
1981 04 28 2.934
1981 04 29 2.923
1981 04 30 2.880
1981 05 01 2.490
1981 05 02 2.496
1981 05 03 2.716
1981 05 04 2.399
1981 05 05 2.338
1981 05 06 2.293
1981 05 07 2.282
1981 05 08 2.271
1981 05 09 2.259
1981 05 10 2.261
1981 05 11 2.236
1981 05 12 2.225
1981 05 13 2.214
1981 05 14 2.203
1981 05 15 2.193
1981 05 16 2.182
1981 05 17 2.171
1981 05 18 2.160
1981 05 19 2.150
1981 05 20 2.190
1981 05 21 2.195
1981 05 22 2.125
1981 05 23 2.157
1981 05 24 2.189
1981 05 25 2.097
1981 05 26 2.091
1981 05 27 2.168
1981 05 28 2.275
1981 05 29 2.463
1981 05 30 2.167
1981 05 31 2.034
1981 06 01 2.151
1981 06 02 2.099
1981 06 03 2.105
1981 06 04 2.322
1981 06 05 2.242
1981 06 06 2.397
1981 06 07 2.393
1981 06 08 2.194
1981 06 09 2.026
1981 06 10 2.012
1981 06 11 2.014
1981 06 12 1.999
1981 06 13 1.993
1981 06 14 2.085
1981 06 15 2.296
1981 06 16 2.367
1981 06 17 2.373
1981 06 18 2.372
1981 06 19 1.992
1981 06 20 2.021
1981 06 21 2.142
1981 06 22 1.977
1981 06 23 1.974
1981 06 24 1.970
1981 06 25 1.967
1981 06 26 1.964
1981 06 27 1.960
1981 06 28 1.958
1981 06 29 1.955
1981 06 30 1.953
1981 07 01 2.243
1981 07 02 2.171
1981 07 03 2.192
1981 07 04 2.125
1981 07 05 2.121
1981 07 06 2.118
1981 07 07 2.114
1981 07 08 2.111
1981 07 09 2.108
1981 07 10 2.105
1981 07 11 2.103
1981 07 12 2.100
1981 07 13 2.098
1981 07 14 2.096
1981 07 15 2.094
1981 07 16 2.092
1981 07 17 2.251
1981 07 18 2.181
1981 07 19 2.170
1981 07 20 2.105
1981 07 21 2.087
1981 07 22 2.086
1981 07 23 2.085
1981 07 24 2.104
1981 07 25 2.438
1981 07 26 2.339
1981 07 27 2.087
1981 07 28 2.086
1981 07 29 2.086
1981 07 30 2.085
1981 07 31 2.085
1981 08 01 2.325
1981 08 02 2.396
1981 08 03 2.358
1981 08 04 2.348
1981 08 05 2.345
1981 08 06 2.343
1981 08 07 2.340
1981 08 08 2.337
1981 08 09 2.334
1981 08 10 2.333
1981 08 11 2.460
1981 08 12 2.639
1981 08 13 2.398
1981 08 14 2.595
1981 08 15 2.344
1981 08 16 2.330
1981 08 17 2.688
1981 08 18 2.706
1981 08 19 2.634
1981 08 20 2.361
1981 08 21 2.358
1981 08 22 2.354
1981 08 23 2.350
1981 08 24 2.346
1981 08 25 2.341
1981 08 26 2.337
1981 08 27 2.332
1981 08 28 2.327
1981 08 29 2.321
1981 08 30 2.315
1981 08 31 2.310
1981 09 01 2.201
1981 09 02 2.288
1981 09 03 2.319
1981 09 04 2.574
1981 09 05 2.257
1981 09 06 2.212
1981 09 07 2.202
1981 09 08 2.192
1981 09 09 2.182
1981 09 10 2.172
1981 09 11 2.161
1981 09 12 2.149
1981 09 13 2.138
1981 09 14 2.126
1981 09 15 2.113
1981 09 16 2.100
1981 09 17 2.115
1981 09 18 2.078
1981 09 19 2.402
1981 09 20 2.056
1981 09 21 2.041
1981 09 22 2.026
1981 09 23 2.021
1981 09 24 2.005
1981 09 25 2.462
1981 09 26 2.481
1981 09 27 2.578
1981 09 28 2.509
1981 09 29 2.393
1981 09 30 2.531
1981 10 01 2.068
1981 10 02 2.311
1981 10 03 2.493
1981 10 04 2.541
1981 10 05 2.565
1981 10 06 2.569
1981 10 07 2.575
1981 10 08 2.615
1981 10 09 2.560
1981 10 10 2.643
1981 10 11 2.646
1981 10 12 2.696
1981 10 13 2.831
1981 10 14 2.690
1981 10 15 2.857
1981 10 16 2.862
1981 10 17 2.928
1981 10 18 2.794
1981 10 19 3.049
1981 10 20 3.062
1981 10 21 3.375
1981 10 22 2.935
1981 10 23 2.926
1981 10 24 3.318
1981 10 25 3.369
1981 10 26 3.382
1981 10 27 3.387
1981 10 28 3.431
1981 10 29 3.447
1981 10 30 3.482
1981 10 31 3.518
1981 11 01 3.338
1981 11 02 3.365
1981 11 03 3.365
1981 11 04 3.375
1981 11 05 3.413
1981 11 06 3.093
1981 11 07 3.271
1981 11 08 3.418
1981 11 09 3.435
1981 11 10 3.475
1981 11 11 3.543
1981 11 12 3.568
1981 11 13 3.581
1981 11 14 3.585
1981 11 15 3.606
1981 11 16 3.568
1981 11 17 3.614
1981 11 18 3.621
1981 11 19 3.623
1981 11 20 3.627
1981 11 21 3.666
1981 11 22 3.560
1981 11 23 3.355
1981 11 24 3.526
1981 11 25 3.658
1981 11 26 3.656
1981 11 27 3.658
1981 11 28 3.604
1981 11 29 3.654
1981 11 30 3.654
1981 12 01 3.293
1981 12 02 3.330
1981 12 03 3.340
1981 12 04 3.350
1981 12 05 3.350
1981 12 06 3.353
1981 12 07 3.356
1981 12 08 3.363
1981 12 09 3.365
1981 12 10 3.366
1981 12 11 3.367
1981 12 12 3.368
1981 12 13 3.368
1981 12 14 3.323
1981 12 15 3.367
1981 12 16 3.370
1981 12 17 3.371
1981 12 18 3.372
1981 12 19 3.372
1981 12 20 3.172
1981 12 21 2.922
1981 12 22 3.343
1981 12 23 3.372
1981 12 24 3.373
1981 12 25 3.373
1981 12 26 3.373
1981 12 27 3.373
1981 12 28 3.372
1981 12 29 3.372
1981 12 30 3.180
1981 12 31 3.124
1982 01 01 3.385
1982 01 02 3.406
1982 01 03 3.406
1982 01 04 3.405
1982 01 05 3.389
1982 01 06 3.358
1982 01 07 3.402
1982 01 08 3.401
1982 01 09 3.400
1982 01 10 3.398
1982 01 11 3.397
1982 01 12 3.395
1982 01 13 3.394
1982 01 14 3.124
1982 01 15 3.249
1982 01 16 3.355
1982 01 17 3.101
1982 01 18 3.244
1982 01 19 3.382
1982 01 20 3.380
1982 01 21 3.377
1982 01 22 3.375
1982 01 23 3.372
1982 01 24 3.370
1982 01 25 3.367
1982 01 26 3.364
1982 01 27 3.361
1982 01 28 3.358
1982 01 29 3.355
1982 01 30 3.320
1982 01 31 3.159
1982 02 01 3.439
1982 02 02 3.541
1982 02 03 3.530
1982 02 04 3.533
1982 02 05 3.528
1982 02 06 3.524
1982 02 07 3.519
1982 02 08 3.514
1982 02 09 3.327
1982 02 10 3.077
1982 02 11 3.040
1982 02 12 3.037
1982 02 13 3.013
1982 02 14 3.007
1982 02 15 3.039
1982 02 16 3.221
1982 02 17 3.412
1982 02 18 2.993
1982 02 19 2.986
1982 02 20 3.048
1982 02 21 2.974
1982 02 22 3.409
1982 02 23 3.426
1982 02 24 3.419
1982 02 25 3.412
1982 02 26 3.405
1982 02 27 3.397
1982 02 28 3.390
1982 03 01 3.544
1982 03 02 3.509
1982 03 03 3.498
1982 03 04 3.493
1982 03 05 3.144
1982 03 06 3.462
1982 03 07 3.466
1982 03 08 3.457
1982 03 09 3.448
1982 03 10 3.439
1982 03 11 3.429
1982 03 12 3.420
1982 03 13 3.410
1982 03 14 3.401
1982 03 15 3.391
1982 03 16 3.381
1982 03 17 3.371
1982 03 18 3.354
1982 03 19 3.350
1982 03 20 3.340
1982 03 21 3.329
1982 03 22 3.319
1982 03 23 3.308
1982 03 24 3.269
1982 03 25 3.286
1982 03 26 3.269
1982 03 27 3.264
1982 03 28 3.253
1982 03 29 3.242
1982 03 30 3.231
1982 03 31 3.220
1982 04 01 3.350
1982 04 02 2.888
1982 04 03 2.814
1982 04 04 2.887
1982 04 05 2.840
1982 04 06 2.742
1982 04 07 2.881
1982 04 08 2.752
1982 04 09 2.697
1982 04 10 2.728
1982 04 11 2.934
1982 04 12 2.897
1982 04 13 3.060
1982 04 14 3.099
1982 04 15 3.087
1982 04 16 3.070
1982 04 17 2.615
1982 04 18 2.588
1982 04 19 2.576
1982 04 20 2.564
1982 04 21 2.552
1982 04 22 2.540
1982 04 23 2.528
1982 04 24 2.517
1982 04 25 2.505
1982 04 26 2.504
1982 04 27 2.493
1982 04 28 2.471
1982 04 29 2.459
1982 04 30 2.496
1982 05 01 2.688
1982 05 02 2.338
1982 05 03 2.327
1982 05 04 2.317
1982 05 05 2.306
1982 05 06 2.295
1982 05 07 2.284
1982 05 08 2.274
1982 05 09 2.276
1982 05 10 2.254
1982 05 11 2.244
1982 05 12 2.234
1982 05 13 2.225
1982 05 14 2.215
1982 05 15 2.264
1982 05 16 2.197
1982 05 17 2.249
1982 05 18 2.259
1982 05 19 2.582
1982 05 20 2.578
1982 05 21 2.169
1982 05 22 2.491
1982 05 23 2.456
1982 05 24 2.472
1982 05 25 2.540
1982 05 26 2.533
1982 05 27 2.318
1982 05 28 2.104
1982 05 29 2.098
1982 05 30 2.272
1982 05 31 2.501
1982 06 01 2.578
1982 06 02 2.172
1982 06 03 2.111
1982 06 04 2.230
1982 06 05 2.471
1982 06 06 2.441
1982 06 07 2.227
1982 06 08 2.097
1982 06 09 2.171
1982 06 10 2.071
1982 06 11 2.134
1982 06 12 2.312
1982 06 13 2.399
1982 06 14 2.248
1982 06 15 2.055
1982 06 16 2.329
1982 06 17 2.436
1982 06 18 2.217
1982 06 19 2.068
1982 06 20 2.092
1982 06 21 2.313
1982 06 22 2.430
1982 06 23 2.290
1982 06 24 2.429
1982 06 25 2.429
1982 06 26 2.430
1982 06 27 2.431
1982 06 28 2.177
1982 06 29 2.317
1982 06 30 2.341
1982 07 01 2.442
1982 07 02 2.333
1982 07 03 2.255
1982 07 04 2.249
1982 07 05 2.249
1982 07 06 2.250
1982 07 07 2.251
1982 07 08 2.252
1982 07 09 2.254
1982 07 10 2.255
1982 07 11 2.256
1982 07 12 2.413
1982 07 13 2.620
1982 07 14 2.609
1982 07 15 2.296
1982 07 16 2.267
1982 07 17 2.269
1982 07 18 2.514
1982 07 19 2.636
1982 07 20 2.600
1982 07 21 2.362
1982 07 22 2.296
1982 07 23 2.299
1982 07 24 2.302
1982 07 25 2.305
1982 07 26 2.309
1982 07 27 2.318
1982 07 28 2.319
1982 07 29 2.544
1982 07 30 2.690
1982 07 31 2.391
1982 08 01 2.549
1982 08 02 2.654
1982 08 03 2.699
1982 08 04 2.762
1982 08 05 3.001
1982 08 06 3.008
1982 08 07 2.706
1982 08 08 2.674
1982 08 09 2.676
1982 08 10 2.871
1982 08 11 3.027
1982 08 12 3.051
1982 08 13 2.741
1982 08 14 2.715
