year month day streamflow_m3s qual_control_by_ana qual_flag
1938 05 01 nan nan 0
1938 05 02 nan nan 0
1938 05 03 nan nan 0
1938 05 04 nan nan 0
1938 05 05 nan nan 0
1938 05 06 nan nan 0
1938 05 07 nan nan 0
1938 05 08 nan nan 0
1938 05 09 nan nan 0
1938 05 10 nan nan 0
1938 05 11 nan nan 0
1938 05 12 nan nan 0
1938 05 13 nan nan 0
1938 05 14 nan nan 0
1938 05 15 nan nan 0
1938 05 16 23.800000 1 1
1938 05 17 23.100000 1 1
1938 05 18 22.300000 1 1
1938 05 19 21.900000 1 1
1938 05 20 22.700000 1 1
1938 05 21 24.600000 1 1
1938 05 22 28.500000 1 1
1938 05 23 28.100000 1 1
1938 05 24 24.900000 1 1
1938 05 25 26.000000 1 1
1938 05 26 24.200000 1 1
1938 05 27 23.400000 1 1
1938 05 28 22.700000 1 1
1938 05 29 22.300000 1 1
1938 05 30 21.600000 1 1
1938 05 31 21.600000 1 1
1938 06 01 21.200000 1 1
1938 06 02 20.800000 1 1
1938 06 03 20.400000 1 1
1938 06 04 20.400000 1 1
1938 06 05 20.400000 1 1
1938 06 06 20.400000 1 1
1938 06 07 20.400000 1 1
1938 06 08 20.000000 1 1
1938 06 09 20.000000 1 1
1938 06 10 19.700000 1 1
1938 06 11 19.700000 1 1
1938 06 12 19.700000 1 1
1938 06 13 19.700000 1 1
1938 06 14 19.300000 1 1
1938 06 15 19.700000 1 1
1938 06 16 19.700000 1 1
1938 06 17 20.800000 1 1
1938 06 18 20.400000 1 1
1938 06 19 19.700000 1 1
1938 06 20 19.300000 1 1
1938 06 21 18.900000 1 1
1938 06 22 18.900000 1 1
1938 06 23 18.300000 1 1
1938 06 24 18.300000 1 1
1938 06 25 18.300000 1 1
1938 06 26 17.900000 1 1
1938 06 27 17.900000 1 1
1938 06 28 17.600000 1 1
1938 06 29 17.900000 1 1
1938 06 30 17.600000 1 1
1938 07 01 17.600000 1 1
1938 07 02 17.600000 1 1
1938 07 03 17.600000 1 1
1938 07 04 17.300000 1 1
1938 07 05 17.300000 1 1
1938 07 06 17.300000 1 1
1938 07 07 17.300000 1 1
1938 07 08 16.700000 1 1
