year month day streamflow_m3s qual_control_by_ana qual_flag
1976 08 01 nan nan nan
1976 08 02 nan nan nan
1976 08 03 nan nan nan
1976 08 04 nan nan nan
1976 08 05 nan nan nan
1976 08 06 nan nan nan
1976 08 07 nan nan nan
1976 08 08 nan nan nan
1976 08 09 nan nan nan
1976 08 10 nan nan nan
1976 08 11 nan nan nan
1976 08 12 nan nan nan
1976 08 13 nan nan nan
1976 08 14 nan nan nan
1976 08 15 nan nan nan
1976 08 16 nan nan nan
1976 08 17 nan nan nan
1976 08 18 nan nan nan
1976 08 19 nan nan nan
1976 08 20 nan nan nan
1976 08 21 nan nan nan
1976 08 22 62.975000 1 1
1976 08 23 50.274000 1 1
1976 08 24 46.222000 1 1
1976 08 25 42.756000 1 1
1976 08 26 40.327000 1 1
1976 08 27 38.889000 1 1
1976 08 28 37.465000 1 1
1976 08 29 35.126000 1 1
1976 08 30 34.202000 1 1
1976 08 31 34.663000 1 1
1976 09 01 33.285000 1 1
1976 09 02 32.829000 1 1
1976 09 03 31.922000 1 1
1976 09 04 31.023000 1 1
1976 09 05 41.780000 1 1
1976 09 06 41.780000 1 1
1976 09 07 46.222000 1 1
1976 09 08 61.344000 1 1
1976 09 09 44.232000 1 1
1976 09 10 36.994000 1 1
1976 09 11 35.126000 1 1
1976 09 12 35.590000 1 1
1976 09 13 69.054000 1 1
1976 09 14 72.435000 1 1
1976 09 15 66.271000 1 1
1976 09 16 65.167000 1 1
1976 09 17 52.335000 1 1
1976 09 18 46.222000 1 1
1976 09 19 39.846000 1 1
1976 09 20 36.524000 1 1
1976 09 21 35.590000 1 1
1976 09 22 34.202000 1 1
1976 09 23 33.742000 1 1
1976 09 24 32.375000 1 1
1976 09 25 32.375000 1 1
1976 09 26 31.472000 1 1
1976 09 27 32.375000 1 1
1976 09 28 33.742000 1 1
1976 09 29 31.922000 1 1
1976 09 30 30.576000 1 1
1976 10 01 28.806000 1 1
1976 10 02 27.933000 1 1
1976 10 03 26.636000 1 1
1976 10 04 26.636000 1 1
1976 10 05 41.294000 1 1
1976 10 06 41.294000 1 1
1976 10 07 38.412000 1 1
1976 10 08 31.023000 1 1
1976 10 09 48.236000 1 1
1976 10 10 50.274000 1 1
1976 10 11 38.889000 1 1
1976 10 12 35.126000 1 1
1976 10 13 30.576000 1 1
1976 10 14 28.806000 1 1
1976 10 15 27.066000 1 1
1976 10 16 31.922000 1 1
1976 10 17 29.246000 1 1
1976 10 18 43.246000 1 1
1976 10 19 73.003000 1 1
1976 10 20 59.189000 1 1
1976 10 21 46.222000 1 1
1976 10 22 37.465000 1 1
1976 10 23 32.829000 1 1
1976 10 24 31.472000 1 1
1976 10 25 29.246000 1 1
1976 10 26 42.756000 1 1
1976 10 27 36.056000 1 1
1976 10 28 33.742000 1 1
1976 10 29 34.202000 1 1
1976 10 30 35.590000 1 1
1976 10 31 36.994000 1 1
1976 11 01 32.829000 1 1
1976 11 02 31.472000 1 1
1976 11 03 28.368000 1 1
1976 11 04 41.780000 1 1
1976 11 05 82.841000 1 1
1976 11 06 132.733000 1 1
1976 11 07 66.271000 1 1
1976 11 08 63.521000 1 1
1976 11 09 49.762000 1 1
1976 11 10 38.889000 1 1
1976 11 11 35.590000 1 1
1976 11 12 34.663000 1 1
1976 11 13 38.889000 1 1
1976 11 14 48.743000 1 1
1976 11 15 45.224000 1 1
1976 11 16 41.780000 1 1
1976 11 17 36.524000 1 1
1976 11 18 32.375000 1 1
1976 11 19 31.023000 1 1
1976 11 20 35.126000 1 1
1976 11 21 41.780000 1 1
1976 11 22 32.375000 1 1
1976 11 23 31.023000 1 1
1976 11 24 27.933000 1 1
1976 11 25 27.066000 1 1
1976 11 26 36.056000 1 1
1976 11 27 28.368000 1 1
1976 11 28 28.368000 1 1
1976 11 29 28.806000 1 1
1976 11 30 31.472000 1 1
1976 12 01 46.723000 1 1
1976 12 02 50.787000 1 1
1976 12 03 40.327000 1 1
1976 12 04 39.367000 1 1
1976 12 05 30.131000 1 1
1976 12 06 41.294000 1 1
1976 12 07 36.994000 1 1
1976 12 08 40.810000 1 1
1976 12 09 55.996000 1 1
1976 12 10 45.722000 1 1
1976 12 11 39.367000 1 1
1976 12 12 33.285000 1 1
1976 12 13 29.246000 1 1
1976 12 14 28.368000 1 1
1976 12 15 28.806000 1 1
1976 12 16 47.226000 1 1
1976 12 17 42.756000 1 1
1976 12 18 36.994000 1 1
1976 12 19 30.576000 1 1
1976 12 20 27.499000 1 1
1976 12 21 27.933000 1 1
1976 12 22 32.375000 1 1
1976 12 23 40.810000 1 1
1976 12 24 41.294000 1 1
1976 12 25 36.524000 1 1
1976 12 26 33.285000 1 1
1976 12 27 32.375000 1 1
1976 12 28 34.202000 1 1
1976 12 29 30.131000 1 1
