year month day streamflow_m3s qual_control_by_ana qual_flag
1969 06 01 nan nan 0
1969 06 02 nan nan 0
1969 06 03 nan nan 0
1969 06 04 nan nan 0
1969 06 05 nan nan 0
1969 06 06 nan nan 0
1969 06 07 nan nan 0
1969 06 08 4.640000 1 1
1969 06 09 4.450000 1 1
1969 06 10 4.450000 1 1
1969 06 11 4.450000 1 1
1969 06 12 4.640000 1 1
1969 06 13 4.640000 1 1
1969 06 14 4.640000 1 1
1969 06 15 4.450000 1 1
1969 06 16 4.450000 1 1
1969 06 17 4.640000 1 1
1969 06 18 4.830000 1 1
1969 06 19 5.400000 1 1
1969 06 20 6.840000 1 1
1969 06 21 6.120000 1 1
1969 06 22 5.880000 1 1
1969 06 23 5.640000 1 1
1969 06 24 5.400000 1 1
1969 06 25 5.210000 1 1
1969 06 26 5.400000 1 1
1969 06 27 5.880000 1 1
1969 06 28 6.600000 1 1
1969 06 29 6.360000 1 1
1969 06 30 5.880000 1 1
1969 07 01 5.400000 1 1
1969 07 02 5.210000 1 1
1969 07 03 6.120000 1 1
1969 07 04 7.800000 1 1
1969 07 05 7.800000 1 1
1969 07 06 7.560000 1 1
1969 07 07 7.080000 1 1
1969 07 08 6.360000 1 1
1969 07 09 5.400000 1 1
1969 07 10 5.020000 1 1
1969 07 11 5.210000 1 1
1969 07 12 4.830000 1 1
1969 07 13 4.450000 1 1
1969 07 14 4.450000 1 1
1969 07 15 4.260000 1 1
1969 07 16 4.070000 1 1
1969 07 17 3.690000 1 1
1969 07 18 3.500000 1 1
1969 07 19 3.500000 1 1
1969 07 20 3.350000 1 1
1969 07 21 3.350000 1 1
1969 07 22 3.210000 1 1
1969 07 23 3.210000 1 1
1969 07 24 3.210000 1 1
1969 07 25 3.060000 1 1
1969 07 26 3.060000 1 1
1969 07 27 3.060000 1 1
1969 07 28 3.350000 1 1
1969 07 29 4.830000 1 1
1969 07 30 5.640000 1 1
1969 07 31 4.830000 1 1
1969 08 01 4.830000 1 1
1969 08 02 5.640000 1 1
1969 08 03 5.880000 1 1
1969 08 04 5.400000 1 1
1969 08 05 4.830000 1 1
1969 08 06 4.070000 1 1
1969 08 07 3.500000 1 1
1969 08 08 3.350000 1 1
1969 08 09 3.210000 1 1
1969 08 10 3.210000 1 1
1969 08 11 2.910000 1 1
1969 08 12 2.910000 1 1
1969 08 13 2.910000 1 1
1969 08 14 3.060000 1 1
1969 08 15 3.060000 1 1
1969 08 16 2.910000 1 1
1969 08 17 2.910000 1 1
1969 08 18 2.910000 1 1
1969 08 19 2.760000 1 1
1969 08 20 2.620000 1 1
1969 08 21 2.620000 1 1
1969 08 22 2.320000 1 1
1969 08 23 2.320000 1 1
1969 08 24 2.320000 1 1
1969 08 25 2.180000 1 1
1969 08 26 2.180000 1 1
1969 08 27 2.180000 1 1
1969 08 28 2.180000 1 1
1969 08 29 2.030000 1 1
1969 08 30 2.030000 1 1
1969 08 31 2.030000 1 1
1969 09 01 2.030000 1 1
1969 09 02 1.930000 1 1
1969 09 03 1.930000 1 1
1969 09 04 1.930000 1 1
1969 09 05 1.930000 1 1
1969 09 06 1.930000 1 1
1969 09 07 1.930000 1 1
1969 09 08 1.820000 1 1
1969 09 09 1.930000 1 1
1969 09 10 1.820000 1 1
1969 09 11 1.820000 1 1
1969 09 12 1.720000 1 1
1969 09 13 1.720000 1 1
1969 09 14 1.720000 1 1
1969 09 15 1.620000 1 1
1969 09 16 1.620000 1 1
1969 09 17 1.620000 1 1
1969 09 18 1.620000 1 1
1969 09 19 1.620000 1 1
1969 09 20 1.520000 1 1
1969 09 21 1.520000 1 1
1969 09 22 1.520000 1 1
1969 09 23 1.620000 1 1
1969 09 24 1.620000 1 1
1969 09 25 1.620000 1 1
1969 09 26 1.820000 1 1
1969 09 27 1.820000 1 1
1969 09 28 1.930000 1 1
1969 09 29 1.930000 1 1
1969 09 30 1.930000 1 1
1969 10 01 1.930000 1 1
1969 10 02 1.820000 1 1
1969 10 03 1.720000 1 1
1969 10 04 1.620000 1 1
1969 10 05 1.520000 1 1
1969 10 06 1.410000 1 1
1969 10 07 1.310000 1 1
1969 10 08 1.310000 1 1
1969 10 09 1.210000 1 1
1969 10 10 1.210000 1 1
1969 10 11 1.210000 1 1
1969 10 12 1.210000 1 1
1969 10 13 1.410000 1 1
1969 10 14 1.930000 1 1
1969 10 15 6.840000 1 1
1969 10 16 17.200000 1 1
1969 10 17 15.900000 1 1
1969 10 18 35.600000 1 1
1969 10 19 30.000000 1 1
1969 10 20 20.000000 1 1
1969 10 21 14.600000 1 1
1969 10 22 10.700000 1 1
1969 10 23 9.400000 1 1
1969 10 24 7.080000 1 1
1969 10 25 6.120000 1 1
1969 10 26 5.210000 1 1
1969 10 27 4.830000 1 1
1969 10 28 4.450000 1 1
1969 10 29 4.070000 1 1
1969 10 30 3.690000 1 1
1969 10 31 3.350000 1 1
1969 11 01 3.210000 1 1
1969 11 02 3.060000 1 1
1969 11 03 3.210000 1 1
1969 11 04 3.210000 1 1
1969 11 05 3.060000 1 1
1969 11 06 3.060000 1 1
1969 11 07 3.210000 1 1
1969 11 08 3.350000 1 1
1969 11 09 2.760000 1 1
1969 11 10 2.620000 1 1
1969 11 11 2.470000 1 1
1969 11 12 2.320000 1 1
1969 11 13 2.470000 1 1
1969 11 14 2.470000 1 1
1969 11 15 2.470000 1 1
1969 11 16 2.180000 1 1
1969 11 17 2.180000 1 1
1969 11 18 2.320000 1 1
1969 11 19 2.760000 1 1
1969 11 20 2.620000 1 1
1969 11 21 2.470000 1 1
1969 11 22 2.620000 1 1
1969 11 23 3.210000 1 1
1969 11 24 3.690000 1 1
1969 11 25 2.620000 1 1
1969 11 26 5.640000 1 1
1969 11 27 17.200000 1 1
1969 11 28 27.200000 1 1
1969 11 29 49.600000 1 1
1969 11 30 73.000000 1 1
1969 12 01 170.000000 1 1
1969 12 02 67.000000 1 1
1969 12 03 68.000000 1 1
1969 12 04 70.000000 1 1
1969 12 05 54.000000 1 1
1969 12 06 40.500000 1 1
1969 12 07 41.200000 1 1
1969 12 08 32.800000 1 1
1969 12 09 29.500000 1 1
1969 12 10 23.000000 1 1
1969 12 11 19.000000 1 1
1969 12 12 26.100000 1 1
1969 12 13 20.500000 1 1
1969 12 14 19.000000 1 1
1969 12 15 25.000000 1 1
1969 12 16 25.000000 1 1
1969 12 17 86.800000 1 1
1969 12 18 120.000000 1 1
1969 12 19 107.000000 1 1
1969 12 20 80.000000 1 1
1969 12 21 59.000000 1 1
1969 12 22 53.000000 1 1
1969 12 23 37.000000 1 1
1969 12 24 30.000000 1 1
1969 12 25 25.600000 1 1
1969 12 26 37.700000 1 1
1969 12 27 84.400000 1 1
1969 12 28 132.000000 1 1
1969 12 29 208.000000 1 1
1969 12 30 119.000000 1 1
1969 12 31 79.000000 1 1
1970 01 01 59.000000 1 1
1970 01 02 50.400000 1 1
1970 01 03 46.400000 1 1
1970 01 04 37.000000 1 1
1970 01 05 30.000000 1 1
1970 01 06 26.700000 1 1
1970 01 07 26.100000 1 1
1970 01 08 23.500000 1 1
1970 01 09 20.500000 1 1
1970 01 10 18.100000 1 1
1970 01 11 17.200000 1 1
1970 01 12 45.600000 1 1
1970 01 13 80.000000 1 1
1970 01 14 78.000000 1 1
1970 01 15 66.000000 1 1
1970 01 16 45.600000 1 1
1970 01 17 37.000000 1 1
1970 01 18 28.900000 1 1
1970 01 19 24.500000 1 1
1970 01 20 22.500000 1 1
1970 01 21 21.500000 1 1
1970 01 22 25.000000 1 1
1970 01 23 91.600000 1 1
1970 01 24 444.000000 1 1
1970 01 25 311.000000 1 1
1970 01 26 234.000000 1 1
1970 01 27 213.000000 1 1
1970 01 28 210.000000 1 1
1970 01 29 174.000000 1 1
1970 01 30 115.000000 1 1
1970 01 31 85.600000 1 1
1970 02 01 71.000000 1 1
1970 02 02 59.000000 1 1
1970 02 03 56.000000 1 1
1970 02 04 49.600000 1 1
1970 02 05 47.200000 1 1
1970 02 06 41.200000 1 1
1970 02 07 37.700000 1 1
1970 02 08 35.600000 1 1
1970 02 09 36.300000 1 1
1970 02 10 40.500000 1 1
1970 02 11 34.900000 1 1
1970 02 12 32.100000 1 1
1970 02 13 32.100000 1 1
1970 02 14 28.300000 1 1
1970 02 15 37.000000 1 1
1970 02 16 30.000000 1 1
1970 02 17 26.100000 1 1
1970 02 18 24.500000 1 1
1970 02 19 23.000000 1 1
1970 02 20 21.000000 1 1
1970 02 21 20.500000 1 1
1970 02 22 19.500000 1 1
1970 02 23 18.600000 1 1
1970 02 24 16.800000 1 1
1970 02 25 15.900000 1 1
1970 02 26 15.400000 1 1
1970 02 27 14.600000 1 1
1970 02 28 15.400000 1 1
1970 03 01 34.900000 1 1
1970 03 02 54.000000 1 1
1970 03 03 41.200000 1 1
1970 03 04 35.600000 1 1
1970 03 05 34.900000 1 1
1970 03 06 39.800000 1 1
1970 03 07 33.500000 1 1
1970 03 08 28.300000 1 1
1970 03 09 24.500000 1 1
1970 03 10 21.500000 1 1
1970 03 11 18.600000 1 1
1970 03 12 16.300000 1 1
1970 03 13 13.800000 1 1
1970 03 14 12.600000 1 1
1970 03 15 12.600000 1 1
1970 03 16 12.200000 1 1
1970 03 17 11.000000 1 1
1970 03 18 11.400000 1 1
1970 03 19 10.700000 1 1
1970 03 20 11.400000 1 1
1970 03 21 10.000000 1 1
1970 03 22 8.760000 1 1
1970 03 23 8.120000 1 1
1970 03 24 7.800000 1 1
1970 03 25 7.560000 1 1
1970 03 26 7.320000 1 1
1970 03 27 6.600000 1 1
1970 03 28 6.600000 1 1
1970 03 29 6.360000 1 1
1970 03 30 6.360000 1 1
1970 03 31 6.120000 1 1
1970 04 01 5.880000 1 1
1970 04 02 5.640000 1 1
1970 04 03 6.120000 1 1
1970 04 04 5.640000 1 1
1970 04 05 5.400000 1 1
1970 04 06 5.210000 1 1
1970 04 07 5.020000 1 1
1970 04 08 4.830000 1 1
1970 04 09 4.640000 1 1
1970 04 10 4.450000 1 1
1970 04 11 4.450000 1 1
1970 04 12 4.830000 1 1
1970 04 13 5.020000 1 1
1970 04 14 5.400000 1 1
1970 04 15 6.840000 1 1
1970 04 16 7.080000 1 1
1970 04 17 6.360000 1 1
1970 04 18 5.640000 1 1
1970 04 19 5.400000 1 1
1970 04 20 5.880000 1 1
1970 04 21 6.600000 1 1
1970 04 22 18.100000 1 1
1970 04 23 24.000000 1 1
1970 04 24 23.500000 1 1
1970 04 25 16.300000 1 1
1970 04 26 17.700000 1 1
1970 04 27 20.500000 1 1
1970 04 28 18.100000 1 1
1970 04 29 13.800000 1 1
1970 04 30 11.400000 1 1
1970 05 01 9.720000 1 1
1970 05 02 9.080000 1 1
1970 05 03 8.120000 1 1
1970 05 04 7.800000 1 1
1970 05 05 7.320000 1 1
1970 05 06 6.600000 1 1
1970 05 07 6.360000 1 1
1970 05 08 5.880000 1 1
1970 05 09 5.400000 1 1
1970 05 10 5.210000 1 1
1970 05 11 5.400000 1 1
1970 05 12 5.640000 1 1
1970 05 13 6.120000 1 1
1970 05 14 5.880000 1 1
1970 05 15 5.640000 1 1
1970 05 16 5.400000 1 1
1970 05 17 5.400000 1 1
1970 05 18 5.210000 1 1
1970 05 19 4.830000 1 1
1970 05 20 4.640000 1 1
1970 05 21 4.450000 1 1
1970 05 22 4.260000 1 1
1970 05 23 4.070000 1 1
1970 05 24 3.880000 1 1
1970 05 25 4.070000 1 1
1970 05 26 4.070000 1 1
1970 05 27 5.880000 1 1
1970 05 28 12.200000 1 1
1970 05 29 9.080000 1 1
1970 05 30 7.560000 1 1
1970 05 31 6.600000 1 1
1970 06 01 6.120000 1 1
1970 06 02 6.120000 1 1
1970 06 03 7.080000 1 1
1970 06 04 7.560000 1 1
1970 06 05 7.080000 1 1
1970 06 06 6.840000 1 1
1970 06 07 6.600000 1 1
1970 06 08 5.880000 1 1
1970 06 09 5.400000 1 1
1970 06 10 6.120000 1 1
1970 06 11 8.760000 1 1
1970 06 12 7.080000 1 1
1970 06 13 6.360000 1 1
1970 06 14 5.880000 1 1
1970 06 15 5.020000 1 1
1970 06 16 4.640000 1 1
1970 06 17 4.640000 1 1
1970 06 18 4.450000 1 1
1970 06 19 4.450000 1 1
1970 06 20 4.260000 1 1
1970 06 21 4.260000 1 1
1970 06 22 4.260000 1 1
1970 06 23 4.450000 1 1
1970 06 24 5.020000 1 1
1970 06 25 5.210000 1 1
1970 06 26 4.830000 1 1
1970 06 27 4.450000 1 1
1970 06 28 4.450000 1 1
1970 06 29 7.800000 1 1
1970 06 30 18.100000 1 1
1970 07 01 12.200000 1 1
1970 07 02 13.400000 1 1
1970 07 03 12.200000 1 1
1970 07 04 9.400000 1 1
1970 07 05 7.800000 1 1
1970 07 06 7.080000 1 1
1970 07 07 6.840000 1 1
1970 07 08 9.720000 1 1
1970 07 09 13.000000 1 1
1970 07 10 10.000000 1 1
1970 07 11 9.400000 1 1
1970 07 12 7.560000 1 1
1970 07 13 6.600000 1 1
1970 07 14 6.120000 1 1
1970 07 15 5.640000 1 1
1970 07 16 4.830000 1 1
1970 07 17 4.830000 1 1
1970 07 18 5.400000 1 1
1970 07 19 9.080000 1 1
1970 07 20 7.800000 1 1
1970 07 21 9.720000 1 1
1970 07 22 10.400000 1 1
1970 07 23 7.800000 1 1
1970 07 24 7.560000 1 1
1970 07 25 7.320000 1 1
1970 07 26 6.600000 1 1
1970 07 27 6.600000 1 1
1970 07 28 6.360000 1 1
1970 07 29 6.840000 1 1
1970 07 30 7.560000 1 1
1970 07 31 7.800000 1 1
1970 08 01 7.080000 1 1
1970 08 02 6.600000 1 1
1970 08 03 5.210000 1 1
1970 08 04 6.360000 1 1
1970 08 05 7.560000 1 1
1970 08 06 7.080000 1 1
1970 08 07 9.720000 1 1
1970 08 08 7.320000 1 1
1970 08 09 6.120000 1 1
1970 08 10 5.640000 1 1
1970 08 11 5.020000 1 1
1970 08 12 4.640000 1 1
1970 08 13 4.260000 1 1
1970 08 14 4.070000 1 1
1970 08 15 5.020000 1 1
1970 08 16 5.210000 1 1
1970 08 17 4.640000 1 1
1970 08 18 4.450000 1 1
1970 08 19 4.260000 1 1
1970 08 20 3.880000 1 1
1970 08 21 4.260000 1 1
1970 08 22 4.260000 1 1
1970 08 23 3.880000 1 1
1970 08 24 3.690000 1 1
1970 08 25 3.350000 1 1
1970 08 26 3.210000 1 1
