year month day streamflow_m3s qual_control_by_ana qual_flag
1980 06 01 nan nan 0
1980 06 02 nan nan 0
1980 06 03 nan nan 0
1980 06 04 nan nan 0
1980 06 05 nan nan 0
1980 06 06 nan nan 0
1980 06 07 nan nan 0
1980 06 08 nan nan 0
1980 06 09 nan nan 0
1980 06 10 nan nan 0
1980 06 11 nan nan 0
1980 06 12 nan nan 0
1980 06 13 nan nan 0
1980 06 14 nan nan 0
1980 06 15 nan nan 0
1980 06 16 nan nan 0
1980 06 17 nan nan 0
1980 06 18 nan nan 0
1980 06 19 nan nan 0
1980 06 20 164.800000 1 1
1980 06 21 151.600000 1 1
1980 06 22 116.000000 1 1
1980 06 23 101.300000 1 1
1980 06 24 94.840000 1 1
1980 06 25 76.020000 1 1
1980 06 26 64.080000 1 1
1980 06 27 57.300000 1 1
1980 06 28 53.670000 1 1
1980 06 29 50.120000 1 1
1980 06 30 48.020000 1 1
1980 07 01 49.410000 1 1
1980 07 02 52.250000 1 1
1980 07 03 52.250000 1 1
1980 07 04 52.960000 1 1
1980 07 05 56.550000 1 1
1980 07 06 55.090000 1 1
1980 07 07 52.250000 1 1
1980 07 08 49.410000 1 1
1980 07 09 48.020000 1 1
1980 07 10 45.980000 1 1
1980 07 11 46.660000 1 1
1980 07 12 49.410000 1 1
1980 07 13 65.640000 1 1
1980 07 14 76.020000 1 1
1980 07 15 86.100000 1 1
1980 07 16 74.380000 1 1
1980 07 17 62.550000 1 1
1980 07 18 55.800000 1 1
1980 07 19 49.410000 1 1
1980 07 20 46.660000 1 1
1980 07 21 44.620000 1 1
1980 07 22 42.580000 1 1
1980 07 23 43.940000 1 1
1980 07 24 43.940000 1 1
1980 07 25 42.580000 1 1
1980 07 26 41.260000 1 1
1980 07 27 40.620000 1 1
1980 07 28 39.980000 1 1
1980 07 29 38.700000 1 1
1980 07 30 40.620000 1 1
1980 07 31 42.580000 1 1
1980 08 01 40.620000 1 1
1980 08 02 41.260000 1 1
1980 08 03 41.260000 1 1
1980 08 04 40.620000 1 1
1980 08 05 38.700000 1 1
1980 08 06 36.140000 1 1
1980 08 07 34.900000 1 1
1980 08 08 33.100000 1 1
1980 08 09 33.100000 1 1
1980 08 10 34.300000 1 1
1980 08 11 34.300000 1 1
1980 08 12 33.700000 1 1
1980 08 13 33.700000 1 1
1980 08 14 32.500000 1 1
1980 08 15 30.700000 1 1
1980 08 16 30.700000 1 1
1980 08 17 30.100000 1 1
1980 08 18 28.950000 1 1
1980 08 19 28.400000 1 1
1980 08 20 27.300000 1 1
1980 08 21 29.500000 1 1
1980 08 22 30.100000 1 1
1980 08 23 29.500000 1 1
1980 08 24 27.850000 1 1
1980 08 25 25.650000 1 1
1980 08 26 24.550000 1 1
1980 08 27 24.000000 1 1
1980 08 28 24.000000 1 1
1980 08 29 24.000000 1 1
1980 08 30 23.490000 1 1
1980 08 31 24.000000 1 1
1980 09 01 24.550000 1 1
1980 09 02 24.550000 1 1
1980 09 03 23.490000 1 1
1980 09 04 23.490000 1 1
1980 09 05 22.980000 1 1
1980 09 06 21.960000 1 1
1980 09 07 21.450000 1 1
1980 09 08 19.920000 1 1
1980 09 09 19.410000 1 1
1980 09 10 18.900000 1 1
1980 09 11 18.440000 1 1
1980 09 12 17.980000 1 1
1980 09 13 18.440000 1 1
1980 09 14 17.980000 1 1
1980 09 15 18.900000 1 1
1980 09 16 19.920000 1 1
1980 09 17 19.410000 1 1
1980 09 18 18.440000 1 1
1980 09 19 17.520000 1 1
1980 09 20 16.600000 1 1
1980 09 21 16.140000 1 1
1980 09 22 14.760000 1 1
1980 09 23 14.760000 1 1
1980 09 24 14.300000 1 1
1980 09 25 13.460000 1 1
1980 09 26 13.460000 1 1
1980 09 27 13.040000 1 1
1980 09 28 12.200000 1 1
1980 09 29 12.200000 1 1
1980 09 30 12.200000 1 1
1980 10 01 11.360000 1 1
1980 10 02 10.520000 1 1
1980 10 03 9.392000 1 1
1980 10 04 9.038000 1 1
1980 10 05 8.684000 1 1
1980 10 06 8.330000 1 1
1980 10 07 7.976000 1 1
1980 10 08 7.976000 1 1
1980 10 09 7.976000 1 1
1980 10 10 7.976000 1 1
1980 10 11 8.330000 1 1
1980 10 12 8.330000 1 1
1980 10 13 7.976000 1 1
1980 10 14 7.622000 1 1
1980 10 15 7.622000 1 1
1980 10 16 7.268000 1 1
1980 10 17 6.914000 1 1
1980 10 18 6.560000 1 1
1980 10 19 6.560000 1 1
1980 10 20 6.264000 1 1
1980 10 21 5.968000 1 1
1980 10 22 5.968000 1 1
1980 10 23 5.672000 1 1
1980 10 24 5.672000 1 1
1980 10 25 5.672000 1 1
1980 10 26 5.968000 1 1
1980 10 27 6.264000 1 1
1980 10 28 6.264000 1 1
1980 10 29 7.976000 1 1
1980 10 30 7.622000 1 1
1980 10 31 6.914000 1 1
1980 11 01 6.560000 1 1
1980 11 02 6.264000 1 1
1980 11 03 5.968000 1 1
1980 11 04 5.672000 1 1
1980 11 05 5.080000 1 1
1980 11 06 4.784000 1 1
1980 11 07 4.192000 1 1
1980 11 08 4.192000 1 1
1980 11 09 4.192000 1 1
1980 11 10 3.600000 1 1
1980 11 11 3.600000 1 1
1980 11 12 4.488000 1 1
1980 11 13 3.600000 1 1
1980 11 14 3.600000 1 1
1980 11 15 3.600000 1 1
1980 11 16 5.376000 1 1
1980 11 17 5.080000 1 1
1980 11 18 4.784000 1 1
1980 11 19 5.672000 1 1
1980 11 20 5.968000 1 1
1980 11 21 5.376000 1 1
1980 11 22 5.376000 1 1
1980 11 23 5.968000 1 1
1980 11 24 5.672000 1 1
1980 11 25 5.672000 1 1
1980 11 26 5.672000 1 1
1980 11 27 4.784000 1 1
1980 11 28 4.192000 1 1
