year month day precipitation_mswep
1980 10 16 0.000
1980 10 17 0.000
1980 10 18 0.000
1980 10 19 0.000
1980 10 20 0.000
1980 10 21 0.000
1980 10 22 3.102
1980 10 23 5.585
1980 10 24 0.035
1980 10 25 0.187
1980 10 26 0.000
1980 10 27 0.000
1980 10 28 0.062
1980 10 29 1.487
1980 10 30 5.448
1980 10 31 8.792
1980 11 01 0.122
1980 11 02 2.385
1980 11 03 12.772
1980 11 04 6.696
1980 11 05 12.917
1980 11 06 3.457
1980 11 07 11.834
1980 11 08 33.726
1980 11 09 2.660
1980 11 10 4.672
1980 11 11 16.757
1980 11 12 4.996
1980 11 13 1.673
1980 11 14 0.000
1980 11 15 0.000
1980 11 16 0.000
1980 11 17 11.110
1980 11 18 1.584
1980 11 19 6.962
1980 11 20 0.722
1980 11 21 2.577
1980 11 22 0.213
1980 11 23 8.776
1980 11 24 10.433
1980 11 25 20.505
1980 11 26 1.432
1980 11 27 5.163
1980 11 28 1.232
1980 11 29 8.810
1980 11 30 8.713
1980 12 01 36.552
1980 12 02 16.818
1980 12 03 2.303
1980 12 04 9.616
1980 12 05 6.517
1980 12 06 11.877
1980 12 07 5.609
1980 12 08 1.857
1980 12 09 8.517
1980 12 10 1.065
1980 12 11 14.474
1980 12 12 24.173
1980 12 13 8.082
1980 12 14 24.136
1980 12 15 2.203
1980 12 16 6.862
1980 12 17 2.485
1980 12 18 0.327
1980 12 19 10.187
1980 12 20 11.293
1980 12 21 2.414
1980 12 22 26.027
1980 12 23 2.056
1980 12 24 11.047
1980 12 25 6.232
1980 12 26 21.872
1980 12 27 7.780
1980 12 28 7.658
1980 12 29 0.746
1980 12 30 4.985
1980 12 31 4.487
1981 01 01 11.086
1981 01 02 25.733
1981 01 03 30.751
1981 01 04 1.665
1981 01 05 0.312
1981 01 06 0.458
1981 01 07 0.539
1981 01 08 0.062
1981 01 09 1.770
1981 01 10 3.084
1981 01 11 32.173
1981 01 12 6.328
1981 01 13 19.515
1981 01 14 27.788
1981 01 15 12.705
1981 01 16 18.231
1981 01 17 0.048
1981 01 18 0.004
1981 01 19 0.161
1981 01 20 0.240
1981 01 21 15.093
1981 01 22 15.677
1981 01 23 12.855
1981 01 24 10.069
1981 01 25 2.664
1981 01 26 6.992
1981 01 27 2.012
1981 01 28 0.882
1981 01 29 0.052
1981 01 30 0.968
1981 01 31 2.381
1981 02 01 1.017
1981 02 02 5.670
1981 02 03 3.568
1981 02 04 0.161
1981 02 05 0.776
1981 02 06 3.457
1981 02 07 0.162
1981 02 08 0.015
1981 02 09 12.395
1981 02 10 19.181
1981 02 11 2.358
1981 02 12 25.358
1981 02 13 2.887
1981 02 14 1.503
1981 02 15 0.000
