year month day temperature_min
1980 10 16 10.746
1980 10 17 12.037
1980 10 18 14.731
1980 10 19 13.619
1980 10 20 14.824
1980 10 21 13.291
1980 10 22 14.859
1980 10 23 11.095
1980 10 24 10.847
1980 10 25 11.900
1980 10 26 16.333
1980 10 27 17.483
1980 10 28 14.709
1980 10 29 15.463
1980 10 30 16.939
1980 10 31 11.022
1980 11 01 8.483
1980 11 02 8.602
1980 11 03 12.403
1980 11 04 15.130
1980 11 05 9.686
1980 11 06 15.843
1980 11 07 15.533
1980 11 08 15.695
1980 11 09 15.407
1980 11 10 12.770
1980 11 11 13.431
1980 11 12 10.762
1980 11 13 10.760
1980 11 14 12.349
1980 11 15 13.409
1980 11 16 12.178
1980 11 17 14.312
1980 11 18 12.474
1980 11 19 14.714
1980 11 20 16.101
1980 11 21 16.736
1980 11 22 17.485
1980 11 23 16.027
1980 11 24 13.240
1980 11 25 14.384
1980 11 26 13.358
1980 11 27 13.102
1980 11 28 14.006
1980 11 29 14.781
1980 11 30 14.722
1980 12 01 17.694
1980 12 02 16.768
1980 12 03 14.369
1980 12 04 15.502
1980 12 05 15.986
1980 12 06 16.660
1980 12 07 16.756
1980 12 08 15.773
1980 12 09 18.252
1980 12 10 17.973
1980 12 11 17.274
1980 12 12 17.026
1980 12 13 16.016
1980 12 14 16.592
1980 12 15 12.721
1980 12 16 16.289
1980 12 17 14.184
1980 12 18 20.085
1980 12 19 15.091
1980 12 20 15.898
1980 12 21 13.821
1980 12 22 14.498
1980 12 23 15.350
1980 12 24 14.934
1980 12 25 17.225
1980 12 26 16.696
1980 12 27 16.933
1980 12 28 17.042
1980 12 29 17.770
1980 12 30 16.495
1980 12 31 17.585
1981 01 01 nan
1981 01 02 nan
1981 01 03 15.559
1981 01 04 17.324
1981 01 05 16.372
1981 01 06 17.560
1981 01 07 16.821
1981 01 08 15.989
1981 01 09 15.852
1981 01 10 16.944
1981 01 11 15.727
1981 01 12 16.271
1981 01 13 16.110
1981 01 14 15.705
1981 01 15 13.654
1981 01 16 14.706
1981 01 17 17.349
1981 01 18 16.999
1981 01 19 15.716
1981 01 20 17.153
1981 01 21 15.180
1981 01 22 12.882
1981 01 23 14.757
1981 01 24 14.666
1981 01 25 16.710
1981 01 26 16.747
1981 01 27 16.142
1981 01 28 15.230
1981 01 29 16.093
1981 01 30 16.193
1981 01 31 16.183
1981 02 01 18.822
1981 02 02 19.309
1981 02 03 18.174
1981 02 04 18.771
1981 02 05 17.380
1981 02 06 15.919
1981 02 07 15.631
1981 02 08 15.444
1981 02 09 17.174
1981 02 10 17.280
1981 02 11 18.474
1981 02 12 19.284
1981 02 13 19.297
1981 02 14 19.445
1981 02 15 18.201
1981 02 16 19.171
1981 02 17 17.401
1981 02 18 18.152
1981 02 19 16.885
1981 02 20 20.048
1981 02 21 16.157
1981 02 22 16.511
1981 02 23 8.992
1981 02 24 16.777
1981 02 25 16.634
1981 02 26 15.993
1981 02 27 17.162
1981 02 28 18.619
1981 03 01 16.979
1981 03 02 19.164
1981 03 03 17.850
1981 03 04 16.420
1981 03 05 16.734
1981 03 06 17.088
1981 03 07 17.564
1981 03 08 18.108
1981 03 09 15.599
1981 03 10 15.539
1981 03 11 16.822
1981 03 12 15.624
1981 03 13 14.221
1981 03 14 16.412
1981 03 15 18.526
1981 03 16 16.364
1981 03 17 13.916
1981 03 18 15.289
1981 03 19 14.968
1981 03 20 15.651
1981 03 21 12.291
1981 03 22 11.354
1981 03 23 10.915
1981 03 24 14.246
1981 03 25 12.801
1981 03 26 14.725
1981 03 27 15.938
1981 03 28 15.827
1981 03 29 15.296
1981 03 30 16.105
1981 03 31 14.884
1981 04 01 14.527
1981 04 02 14.296
1981 04 03 15.319
1981 04 04 15.333
1981 04 05 12.806
1981 04 06 15.040
1981 04 07 16.194
1981 04 08 16.002
1981 04 09 15.945
1981 04 10 13.157
1981 04 11 11.448
1981 04 12 12.458
1981 04 13 13.659
1981 04 14 13.883
1981 04 15 13.737
1981 04 16 11.832
1981 04 17 9.939
1981 04 18 10.556
1981 04 19 8.246
1981 04 20 8.879
1981 04 21 10.105
1981 04 22 12.530
1981 04 23 12.943
1981 04 24 12.539
1981 04 25 14.087
1981 04 26 12.173
1981 04 27 13.512
1981 04 28 14.030
1981 04 29 7.439
1981 04 30 7.035
1981 05 01 6.589
1981 05 02 7.988
1981 05 03 9.612
1981 05 04 12.710
