year month day temperature_min
1980 01 01 11.040
1980 01 02 9.010
1980 01 03 12.383
1980 01 04 12.677
1980 01 05 13.967
1980 01 06 -0.272
1980 01 07 16.413
1980 01 08 18.955
1980 01 09 19.097
1980 01 10 16.537
1980 01 11 14.537
1980 01 12 13.778
1980 01 13 13.983
1980 01 14 14.497
1980 01 15 12.765
1980 01 16 16.342
1980 01 17 18.249
1980 01 18 19.115
1980 01 19 15.914
1980 01 20 17.329
1980 01 21 14.668
1980 01 22 17.121
1980 01 23 19.059
1980 01 24 18.179
1980 01 25 16.161
1980 01 26 15.492
1980 01 27 18.209
1980 01 28 19.427
1980 01 29 16.487
1980 01 30 14.912
1980 01 31 18.414
1980 02 01 17.430
1980 02 02 17.299
1980 02 03 16.458
1980 02 04 14.465
1980 02 05 18.284
1980 02 06 17.382
1980 02 07 18.421
1980 02 08 17.845
1980 02 09 17.311
1980 02 10 19.393
1980 02 11 19.958
1980 02 12 20.822
1980 02 13 18.284
1980 02 14 0.970
1980 02 15 19.154
1980 02 16 16.334
1980 02 17 17.919
1980 02 18 16.028
1980 02 19 12.701
1980 02 20 14.360
1980 02 21 13.909
1980 02 22 15.640
1980 02 23 17.424
1980 02 24 17.339
1980 02 25 19.007
1980 02 26 18.443
1980 02 27 18.083
1980 02 28 18.092
1980 02 29 20.097
1980 03 01 20.020
1980 03 02 17.427
1980 03 03 19.179
1980 03 04 18.025
1980 03 05 16.428
1980 03 06 15.637
1980 03 07 17.447
1980 03 08 15.769
1980 03 09 17.529
1980 03 10 20.043
1980 03 11 18.300
1980 03 12 18.184
1980 03 13 17.954
1980 03 14 17.320
1980 03 15 16.204
1980 03 16 15.943
1980 03 17 17.855
1980 03 18 17.995
1980 03 19 19.267
1980 03 20 17.126
1980 03 21 14.854
1980 03 22 15.177
1980 03 23 17.422
1980 03 24 17.495
1980 03 25 15.976
1980 03 26 16.826
1980 03 27 16.567
1980 03 28 15.742
1980 03 29 16.795
1980 03 30 16.405
1980 03 31 15.320
1980 04 01 14.190
1980 04 02 14.397
1980 04 03 15.347
1980 04 04 16.241
1980 04 05 13.780
1980 04 06 13.610
1980 04 07 14.250
1980 04 08 13.625
1980 04 09 14.595
1980 04 10 18.276
1980 04 11 19.137
1980 04 12 20.883
1980 04 13 16.057
1980 04 14 17.207
1980 04 15 11.492
1980 04 16 17.396
1980 04 17 14.460
1980 04 18 16.187
1980 04 19 16.068
1980 04 20 14.662
1980 04 21 12.642
1980 04 22 13.426
1980 04 23 14.386
1980 04 24 15.912
1980 04 25 13.473
1980 04 26 11.362
1980 04 27 14.276
1980 04 28 14.054
1980 04 29 12.500
1980 04 30 11.608
1980 05 01 13.840
1980 05 02 8.075
1980 05 03 10.736
1980 05 04 2.519
1980 05 05 3.231
1980 05 06 5.610
1980 05 07 11.772
1980 05 08 14.754
1980 05 09 12.872
1980 05 10 14.041
1980 05 11 12.341
1980 05 12 11.170
1980 05 13 14.335
1980 05 14 15.574
1980 05 15 14.658
1980 05 16 12.294
1980 05 17 12.985
1980 05 18 14.799
1980 05 19 13.940
1980 05 20 14.766
1980 05 21 15.393
1980 05 22 15.172
1980 05 23 8.984
1980 05 24 9.897
1980 05 25 6.715
1980 05 26 10.704
1980 05 27 11.745
1980 05 28 11.119
1980 05 29 12.981
1980 05 30 12.993
1980 05 31 11.922
1980 06 01 14.653
1980 06 02 13.950
1980 06 03 10.320
1980 06 04 -0.185
1980 06 05 5.143
1980 06 06 4.555
1980 06 07 6.646
1980 06 08 7.619
1980 06 09 8.306
1980 06 10 12.132
1980 06 11 13.228
1980 06 12 15.193
1980 06 13 14.636
1980 06 14 5.345
1980 06 15 1.048
1980 06 16 5.221
1980 06 17 4.372
1980 06 18 6.861
1980 06 19 7.538
1980 06 20 13.401
1980 06 21 10.020
1980 06 22 8.000
1980 06 23 7.427
1980 06 24 9.084
1980 06 25 14.809
1980 06 26 6.174
1980 06 27 5.278
1980 06 28 -0.695
1980 06 29 8.757
1980 06 30 11.916
1980 07 01 15.151
1980 07 02 10.134
1980 07 03 7.969
1980 07 04 7.784
1980 07 05 9.556
1980 07 06 9.132
1980 07 07 9.827
1980 07 08 11.907
1980 07 09 14.379
1980 07 10 10.295
1980 07 11 10.964
1980 07 12 13.761
1980 07 13 11.864
1980 07 14 14.078
1980 07 15 3.007
1980 07 16 1.535
1980 07 17 3.946
1980 07 18 8.421
1980 07 19 12.047
1980 07 20 12.981
1980 07 21 14.782
1980 07 22 14.235
1980 07 23 5.859
1980 07 24 9.447
1980 07 25 9.596
1980 07 26 10.281
1980 07 27 12.561
1980 07 28 6.566
1980 07 29 15.328
1980 07 30 13.148
1980 07 31 3.087
1980 08 01 2.372
1980 08 02 5.884
1980 08 03 10.606
1980 08 04 10.358
1980 08 05 10.709
1980 08 06 12.589
1980 08 07 8.595
1980 08 08 7.512
1980 08 09 10.781
1980 08 10 12.813
1980 08 11 11.732
1980 08 12 12.470
1980 08 13 9.731
1980 08 14 11.008
1980 08 15 11.062
1980 08 16 12.835
1980 08 17 15.722
1980 08 18 16.738
1980 08 19 13.134
1980 08 20 14.038
1980 08 21 14.942
1980 08 22 14.954
1980 08 23 9.297
1980 08 24 10.087
1980 08 25 11.000
1980 08 26 12.061
1980 08 27 5.208
1980 08 28 4.898
1980 08 29 8.798
1980 08 30 12.707
1980 08 31 11.166
1980 09 01 13.182
1980 09 02 14.366
1980 09 03 13.302
1980 09 04 10.266
1980 09 05 0.401
1980 09 06 3.976
1980 09 07 3.492
1980 09 08 10.960
1980 09 09 12.685
1980 09 10 9.485
1980 09 11 9.557
1980 09 12 12.374
1980 09 13 13.342
1980 09 14 14.418
1980 09 15 14.981
1980 09 16 4.638
1980 09 17 -2.037
1980 09 18 5.652
1980 09 19 9.670
1980 09 20 13.975
1980 09 21 14.198
1980 09 22 3.945
1980 09 23 5.460
1980 09 24 6.301
1980 09 25 4.865
1980 09 26 6.415
1980 09 27 6.829
1980 09 28 9.240
1980 09 29 9.264
1980 09 30 8.195
1980 10 01 11.886
1980 10 02 14.304
1980 10 03 13.665
1980 10 04 16.198
1980 10 05 13.582
1980 10 06 8.363
1980 10 07 8.404
1980 10 08 8.496
1980 10 09 12.486
1980 10 10 13.489
1980 10 11 12.231
1980 10 12 12.336
1980 10 13 11.291
1980 10 14 10.381
1980 10 15 11.243
1980 10 16 11.405
1980 10 17 14.236
1980 10 18 15.439
1980 10 19 18.205
1980 10 20 15.407
1980 10 21 15.517
1980 10 22 19.393
1980 10 23 14.566
1980 10 24 12.392
1980 10 25 14.271
1980 10 26 15.600
1980 10 27 16.839
1980 10 28 15.410
1980 10 29 15.424
