gauge_id crop_perc crop_mosaic_perc forest_perc shrub_perc grass_perc barren_perc imperv_perc wet_perc snow_perc dom_land_cover dom_land_cover_perc
23150000 1.54980 14.45490 35.56310 48.42880 0.00000 0.00330 0.00000 0.00000 0.00000 shrub 48.42880
23220000 15.22550 20.95860 24.02080 39.70990 0.02520 0.01260 0.00000 0.04730 0.00000 shrub 39.70990
23230000 0.80420 18.75210 29.59910 50.83540 0.00000 0.00000 0.00000 0.00920 0.00000 shrub 50.83540
23250000 6.09290 19.70040 27.11380 47.06290 0.00750 0.00470 0.00000 0.01790 0.00000 shrub 47.06290
23300000 9.72190 31.09780 34.03050 24.42940 0.10110 0.03410 0.00170 0.58380 0.00000 forest 34.03050
23600000 9.60200 32.37010 33.11750 24.17880 0.09770 0.03280 0.00160 0.59950 0.00000 forest 33.11750
23700000 9.62580 32.96810 32.81290 23.85480 0.09530 0.03190 0.00160 0.60970 0.00000 crop_mosaic 32.96810
23710000 9.62880 32.96730 32.81240 23.85170 0.09530 0.03190 0.00160 0.61110 0.00000 crop_mosaic 32.96730
24050000 16.97960 34.30090 26.20260 22.13190 0.00000 0.38500 0.00000 0.00000 0.00000 crop_mosaic 34.30090
24200000 23.25000 37.87180 26.75980 12.05020 0.00000 0.06620 0.00000 0.00200 0.00000 crop_mosaic 37.87180
24500000 12.50070 28.72820 26.65200 32.11740 0.00000 0.00000 0.00000 0.00180 0.00000 shrub 32.11740
24700000 18.92020 36.78710 27.34250 16.91030 0.00020 0.03320 0.00000 0.00640 0.00000 crop_mosaic 36.78710
24750000 31.55990 36.22950 23.29600 8.90340 0.00840 0.00140 0.00000 0.00140 0.00000 crop_mosaic 36.22950
24780000 25.76660 29.29720 40.45630 4.48000 0.00000 0.00000 0.00000 0.00000 0.00000 forest 40.45630
24800000 33.69620 31.86230 28.45990 5.94230 0.00450 0.00080 0.00000 0.03410 0.00000 crop 33.69620
24850000 22.99170 35.57300 27.45440 13.92020 0.00200 0.02460 0.00000 0.03420 0.00000 crop_mosaic 35.57300
24900000 35.91200 44.64690 16.80970 2.63150 0.00000 0.00000 0.00000 0.00000 0.00000 crop_mosaic 44.64690
24950000 54.84700 24.15280 19.86950 1.13060 0.00000 0.00000 0.00000 0.00000 0.00000 crop 54.84700
25100000 27.25480 37.49500 26.27020 8.97990 0.00000 0.00000 0.00000 0.00000 0.00000 crop_mosaic 37.49500
25130000 41.28400 30.43690 26.36410 1.91510 0.00000 0.00000 0.00000 0.00000 0.00000 crop 41.28400
