gauge_id consumptive_use consumptive_use_perc reservoirs_vol regulation_degree
10500000 0.00810 0.00060 0.00000 0.00000
11400000 0.05290 0.00370 1718.00000 0.11740
11500000 0.05280 0.00330 1718.00000 0.09490
12370000 0.08010 0.01070 0.00000 0.00000
12500000 0.15270 0.01960 0.00000 0.00000
12520000 0.15580 0.02040 0.00000 0.00000
12700000 0.12040 0.01340 0.00000 0.00000
13150000 0.05570 0.00360 1718.00000 0.06220
13470000 0.55110 0.10500 0.00000 0.00000
13600002 1.38790 0.29490 0.00000 0.00000
13710001 0.61050 0.09970 7.00000 0.01080
13750000 0.40400 0.05140 7.00000 0.00580
13870000 0.32370 0.04110 8.00000 0.00450
13880000 0.31200 0.03740 8.00000 0.00400
14100000 0.10990 0.00750 1726.00000 0.05380
14110000 0.01040 0.00050 0.00000 0.00000
14230000 0.01050 0.00040 0.00000 0.00000
14250000 0.01050 0.00050 0.00000 0.00000
14260000 0.01050 0.00050 0.00000 0.00000
14280001 0.01050 0.00050 0.00000 0.00000
14310000 0.01050 0.00040 0.00000 0.00000
14330000 0.01050 0.00050 0.00000 0.00000
14350000 0.00930 0.00040 0.00000 0.00000
14440000 0.00710 0.00080 0.00000 0.00000
14515000 0.37010 0.03660 20.00000 0.04010
14526000 0.56370 0.08690 0.00000 0.00000
14680001 0.13720 0.01640 0.00000 0.00000
15030000 0.14560 0.01040 1934.00000 0.04710
15130000 1.02600 0.36890 35.00000 0.22480
15400000 0.90960 0.15620 3482.00000 0.60050
15550000 1.51410 0.17260 7.00000 0.06450
15700000 1.02880 0.14820 9127.00000 1.11990
15800000 0.28840 0.04550 54.00000 0.12090
15910000 0.05160 0.00480 0.00000 0.00000
15930000 0.05160 0.00450 0.00000 0.00000
17050001 0.27680 0.02380 31145.00000 0.56830
17090000 0.17120 0.06500 0.00000 0.00000
17200000 0.70230 0.09160 0.00000 0.00000
17345000 0.24680 0.01530 0.00000 0.00000
17350000 1.02160 0.11390 0.00000 0.00000
18200000 0.32150 0.09600 0.00000 0.00000
18850000 0.45020 0.08300 110.00000 0.04480
19150000 0.06260 0.00910 0.00000 0.00000
20200000 14.76540 2.84240 0.00000 0.00000
20250000 9.45870 1.98330 6.00000 0.11850
21500000 4.11950 1.58410 597.00000 10.04490
21750000 2.97280 0.28220 0.00000 0.00000
22050001 4.37430 1.20770 61400.00000 131.24660
22500000 3.49190 0.95900 67023.00000 98.38020
22680000 0.10740 0.02070 0.00000 0.00000
22700000 0.11350 0.02190 0.00000 0.00000
22850000 0.47510 0.09060 0.00000 0.00000
22900000 0.39410 0.07820 82.00000 0.36910
23100000 2.86580 0.71950 67105.00000 68.55970
23150000 0.40430 0.07820 0.00000 0.00000
23220000 4.65870 1.42850 52.00000 5.34990
23230000 1.71020 0.29260 0.00000 0.00000
23250000 2.56910 0.54650 52.00000 1.10330
23300000 2.71950 0.66110 67167.00000 58.59670
23600000 2.64090 0.64190 72567.00000 59.99600
23700000 2.72520 0.61980 72567.00000 54.64110
23710000 2.72560 0.63850 72567.00000 56.26790
24050000 4.07740 0.47810 0.00000 0.00000
24200000 1.95810 0.31420 3.00000 0.02610
24500000 1.59160 0.25110 0.00000 0.00000
24700000 1.69670 0.29640 3.00000 0.01420
24750000 1.86600 0.31860 244.00000 6.42480
24780000 1.77310 0.28410 17.00000 2.04150
24800000 2.00760 0.37960 261.00000 4.08400
24850000 1.78280 0.32440 264.00000 0.95640
24900000 4.36550 0.87630 0.00000 0.00000
24950000 4.39850 0.97440 0.00000 0.00000
25100000 4.92610 0.60130 0.00000 0.00000
25130000 3.82880 0.83500 0.00000 0.00000
25200000 3.74090 0.74100 276.00000 0.70850
25700000 3.70210 0.79150 276.00000 0.63110
25950000 3.43910 0.80310 284.00000 0.56040
26040000 8.40920 1.18580 4.00000 0.10760
26050000 7.96980 1.15770 4.00000 0.03320
26100000 6.26510 0.93580 23.00000 0.13650
26200000 4.53930 0.79880 23.00000 0.09930
26300000 3.30890 0.67540 23.00000 0.07880
26350000 3.14380 0.72490 307.00000 0.35670
26720000 1.22270 0.37070 0.00000 0.00000
27500000 2.90830 0.61620 328.00000 0.21000
27550000 1.58090 0.21740 0.00000 0.00000
28150000 1.63560 0.25290 0.00000 0.00000
28300000 2.74870 0.58170 408.00000 0.22870
