gauge_id q_mean runoff_ratio stream_elas slope_fdc baseflow_index hfd_mean Q5 Q95 high_q_freq high_q_dur low_q_freq low_q_dur zero_q_freq
21500000 0.71246 0.20004 2.50879 2.11108 nan 170.78947 0.20830 2.30460 5.14955 8.16667 0.00000 0.00000 0.00000
21750000 2.88593 0.77575 0.49326 0.38299 0.87210 173.66667 2.16430 5.25680 0.10128 2.00000 0.00000 0.00000 0.00000
22050001 0.99237 0.25328 2.66760 1.37914 0.76523 171.60000 0.37440 2.34730 1.35000 9.00000 0.00000 0.00000 0.00000
22500000 0.99754 0.24428 2.58029 2.30387 0.72807 178.95000 0.27540 2.75286 1.95000 19.50000 0.50000 2.00000 0.00000
22680000 1.42268 0.33942 0.71611 1.27927 0.80012 176.40000 0.74380 2.88490 0.45000 1.80000 0.00000 0.00000 0.00000
22700000 1.41876 0.33673 0.94374 1.31008 0.78729 176.35000 0.71030 2.87296 1.10000 2.75000 0.00000 0.00000 0.00000
22850000 1.43595 0.31675 2.03460 2.51377 0.64921 179.25000 0.32280 4.42128 5.55000 3.58065 12.55000 10.91304 0.00000
22900000 1.38132 0.31592 1.69695 1.94029 0.76174 181.90000 0.53590 3.32350 0.10000 2.00000 0.00000 0.00000 0.00000
23100000 1.09122 0.26156 2.27548 2.22000 0.75472 182.05000 0.32860 2.89900 0.75000 15.00000 0.30000 3.00000 0.00000
23150000 1.41608 0.30971 0.81056 2.17127 0.69382 186.05000 0.40680 3.92730 2.20000 3.38462 0.60000 6.00000 0.00000
23220000 0.89347 0.22321 0.76959 2.00911 0.76653 184.65000 0.31000 2.07670 0.25000 1.25000 0.00000 0.00000 0.00000
23230000 1.60146 0.35833 0.62855 1.69094 0.74700 183.75000 0.67440 4.01670 0.45000 1.80000 0.00000 0.00000 0.00000
23250000 1.28793 0.29783 0.16675 1.63916 0.77532 186.80000 0.53950 3.05260 0.10000 1.00000 0.00000 0.00000 0.00000
23300000 1.12702 0.26387 1.78675 2.24122 0.77126 183.88889 0.36270 2.82220 0.00000 0.00000 0.10170 2.00000 0.00000
23600000 1.12714 0.26819 2.17023 2.20976 0.76350 185.20000 0.36704 2.92760 0.00000 0.00000 0.15000 3.00000 0.00000
23700000 1.20459 0.28717 1.88946 2.28881 0.76451 185.40000 0.40510 3.10690 0.00000 0.00000 0.00000 0.00000 0.00000
23710000 1.16956 0.27882 2.01322 2.23434 0.75830 186.10000 0.37300 3.16510 0.00000 0.00000 0.05000 1.00000 0.00000
24050000 2.33647 0.54394 -0.26491 0.67511 0.89901 176.57895 1.61590 3.50580 0.00000 0.00000 0.00000 0.00000 0.00000
24200000 1.70750 0.41239 1.49010 2.51705 0.70182 171.65000 0.48230 4.99080 1.25000 2.08333 0.00000 0.00000 0.00000
24500000 1.73632 0.41263 1.12482 2.26538 0.66807 165.95000 0.50590 5.18950 2.90000 1.52632 0.00000 0.00000 0.00000
24700000 1.56822 0.37600 1.00854 2.34843 0.69493 169.00000 0.44880 4.70480 1.80000 2.40000 0.00000 0.00000 0.00000
24750000 1.60447 0.39260 1.94605 2.79179 0.63198 167.10000 0.28530 5.36170 7.35000 2.67273 32.85000 9.95455 0.00000
