gauge_id sand_perc silt_perc clay_perc org_carbon_content bedrock_depth water_table_depth
29050000 53.63070 16.51630 29.85350 9.00230 2936.02040 635.70060
29100000 40.24490 21.82600 37.94690 9.99900 2618.05820 787.79730
29700000 52.60180 16.91020 30.48960 9.07260 2937.28270 645.79470
30080000 37.96200 21.30690 40.72760 7.84260 3601.95710 335.39710
30400000 38.18590 20.87160 40.93870 8.36740 3540.12450 467.99970
31490000 47.44150 18.56920 33.96810 4.51690 6017.47770 285.39770
31520000 47.28290 18.69040 34.00540 4.98360 6127.14200 265.99740
31600000 51.26410 16.74780 31.98520 3.26710 8383.67360 18.70020
31680000 43.04290 17.99820 38.94590 8.51730 3973.15310 1276.13380
31700000 43.60080 17.85680 38.52750 8.43610 4173.45840 1117.31200
32400000 45.93330 18.38290 35.66160 5.48400 5159.26290 287.35100
32550000 44.38770 17.80990 37.78950 6.79840 4731.96780 1309.61720
32620000 43.34830 18.04020 38.59910 7.12970 4389.51090 761.11110
32830000 42.60080 20.26060 37.15830 6.80860 4337.93140 270.34710
33025000 49.25120 14.67100 36.06770 6.16680 4253.38770 1849.14650
33170000 44.47010 16.52370 38.98660 7.03340 4176.70840 2967.10190
33190000 44.01570 16.90100 39.07380 7.16690 4332.75600 1780.31880
33205000 57.84370 14.67210 27.48350 7.05420 3382.02570 1459.67270
33215000 62.57650 13.52850 23.89170 6.63510 3484.11420 1522.67630
33250000 59.01450 14.28160 26.70040 6.49650 3178.79310 1467.16460
33260000 57.95410 14.68560 27.35640 6.41740 3178.45310 1463.67490
33270000 58.91220 14.81740 26.26830 6.00930 2486.28830 1662.38070
33281000 55.87790 16.06330 28.05480 6.27040 3188.46790 1350.74560
33286000 55.52350 16.46040 28.01230 6.26850 3198.24960 1297.55540
33290000 55.42040 16.57190 28.00380 6.31070 3207.59510 1272.34700
33321000 54.63960 15.38820 29.96040 6.88170 3049.94050 1237.25390
33330000 54.70090 15.24200 30.06880 6.05780 3265.36850 1260.73140
33380000 50.45820 17.18560 32.35360 6.84140 3611.98620 1327.99420
33450000 61.54190 12.98840 25.45660 7.40170 3359.94990 1638.90810
33460000 61.10400 13.10420 25.77970 7.20300 3279.64880 1667.46860
33480000 60.37260 13.29130 26.32710 7.20630 3120.61570 2156.82370
33520000 57.09570 13.82660 29.07350 7.23270 2838.12000 2039.64610
33530000 59.14740 13.57750 27.27010 6.88380 3097.81960 1907.56380
33550000 59.05010 13.91070 27.03510 6.61440 3105.13240 1743.38340
33620000 52.72140 20.42890 26.87950 5.39740 3173.11900 829.71460
33630000 57.77710 15.48190 26.74440 6.39000 3147.21750 1411.26330
33680000 56.99930 16.34370 26.66180 6.40150 3230.32180 1273.20040
33730000 56.42100 18.07380 25.51800 6.76100 3387.85860 1001.31470
33760000 55.33890 19.96930 24.70080 5.91260 3238.63890 445.69330
33780000 54.91340 19.45510 25.64720 6.43150 3395.12410 714.67940
34020000 60.01240 13.93520 26.04510 7.54490 2635.64280 1699.22170
34060000 58.65230 14.06980 27.27250 7.53050 2785.36260 1654.62920
34070000 58.50350 14.02770 27.46430 7.48270 2805.71410 1639.31750
34090000 59.41980 13.43450 27.13140 8.04360 3209.24290 1970.55490
34130000 56.54670 14.51030 28.94090 7.82460 2628.89060 934.06770
34170000 57.61610 14.77880 27.60150 7.23160 2791.45580 1063.08920
34251000 57.39170 15.19830 27.40410 7.59780 2523.37640 2364.49160
34311000 58.66050 14.28920 27.04220 7.44860 2789.60080 1969.08460
34571000 61.84960 14.04030 24.10530 5.91710 2229.74560 3523.78770
34660000 59.47090 14.39680 26.12610 6.76810 2575.96870 2379.67650
34690000 59.43720 14.42730 26.12960 6.76140 2579.09190 2369.46580
34730000 58.79300 14.46290 26.74170 5.81880 2361.93180 2937.43720
34750000 55.42850 18.76740 25.81780 5.03070 1435.17730 1883.63570
34770000 57.60330 17.13380 25.26590 5.60300 1621.39210 2266.68420
34789000 57.64140 17.09380 25.26900 5.67680 1722.44730 2104.92360
34879500 59.02350 15.03810 25.93450 6.56900 2439.47130 2257.36330
34930000 57.13350 19.21710 23.65010 4.77080 2057.22200 374.09900
34940000 58.53590 18.89420 22.56630 4.95490 1956.50190 362.50000
34980000 58.38390 18.32290 23.29130 5.30630 1843.37670 583.69970
35235000 53.68830 18.95400 27.39860 5.42290 1634.13260 1166.63730
35240000 54.07800 19.26000 26.68560 5.97180 1296.10520 1392.59320
35258000 54.39410 18.95130 26.68120 5.34100 1704.89320 1255.03760
35260000 54.59660 18.90920 26.51550 5.22780 1718.85340 1174.63110
35263000 52.92600 19.62470 27.46510 6.78800 2289.06650 741.08840
35740000 47.83620 16.81460 35.32120 12.63150 3505.00850 3476.31610
35830000 54.40890 17.51620 28.05240 5.87140 1944.63730 1897.86950
36020000 53.42220 19.97220 26.61370 4.33520 1175.30110 2121.30890
36045000 52.78670 18.29900 28.92690 5.76090 2031.63370 4267.20430
36125000 51.68420 17.93570 30.39770 6.77890 2158.74970 3382.00760
36130000 50.94210 18.16600 30.90760 6.96000 2173.45710 2761.54790
36160000 51.70650 19.40500 28.89810 5.78140 1707.09060 2610.20930
36210000 50.70060 18.65180 30.66780 6.72960 2775.46350 1624.71200
36250000 51.72480 19.03960 29.26640 6.79190 2492.71340 1589.10060
36290000 49.78090 20.00330 30.22980 6.56150 2305.40290 1376.84470
36320000 50.99040 19.69230 29.32930 5.99740 1856.91810 1924.19790
36390000 51.81780 19.51410 28.68160 5.67010 1816.27410 1739.39710
36580000 52.94340 18.92370 28.14780 5.13720 1379.66940 1413.69970
37220000 48.68980 21.10000 30.20350 6.97890 2101.19330 1857.62290
37380000 48.04450 22.56060 29.38690 6.92200 2194.24010 1874.04120
37410000 47.83700 22.54710 29.60490 6.46060 2271.24590 1416.80850
37470000 48.25480 22.49850 29.23770 6.05230 2243.82150 1321.41690
37710150 50.71110 21.54630 27.73530 5.55420 2177.66290 1461.42930
38650000 57.77360 16.72460 25.49370 6.61100 2036.39100 2838.15710
38790000 56.11580 16.73280 27.16230 8.77280 2769.65130 2193.37830
38830000 56.03730 18.02710 25.97190 5.59420 2781.53270 1795.34740
38860000 56.78740 17.91730 25.31130 5.26100 2112.92310 2224.12370
39084010 52.08650 17.60120 30.30830 10.30870 2368.89710 2210.36900
39084020 53.83800 16.43640 29.72770 10.23690 2574.48290 1654.15340
39100000 56.07970 17.86440 26.08800 7.73210 2534.71680 3796.06060
39130000 55.51810 18.01840 26.49940 8.00850 2454.09510 3795.07370
39140000 55.60180 17.72420 26.70470 8.19510 2267.47210 3414.88230
39145000 55.37470 17.72500 26.92780 8.36380 2233.34540 3232.75050
39150000 55.31860 17.70430 27.00380 8.45500 2224.52820 2989.92230
39170000 52.08800 17.67030 30.23120 11.35790 2491.66990 2649.77970
39185000 55.10000 17.49200 27.43410 8.75320 2287.26570 2787.97670
39187800 55.10270 17.47060 27.45280 8.76020 2292.20730 2776.77600
39360000 55.71760 17.09390 27.20260 9.95350 2682.64770 3421.55720
39480000 48.20330 17.52290 34.23920 13.28970 2830.93930 1763.76720
39540000 58.02880 16.37320 25.59990 9.62020 3010.14230 1950.55310
39560000 53.96790 16.92930 29.09300 10.75250 3013.96980 2303.31890
39580000 48.58050 17.47360 33.97580 12.15600 2852.33530 1947.69060
39760000 52.79710 16.51080 30.66600 11.64490 3563.72520 2665.24240
39770000 52.57600 16.60490 30.79440 11.63930 3523.70720 2604.22830
39870000 52.45590 16.94360 30.57810 10.74390 2986.50460 2721.63910
40025000 41.89630 18.25020 39.84350 17.26940 2602.17310 2245.54290
40037000 41.50180 18.21510 40.26940 15.06270 2476.96300 2232.88610
40040000 39.32870 17.81940 42.81470 11.13970 2378.75360 1504.14810
40050000 41.10980 17.21520 41.64310 12.07870 2456.15270 1895.02750
40053000 33.91520 18.85520 47.19360 11.66080 2440.93620 2027.24380
40060001 41.51540 16.84070 41.61330 13.86050 2299.62000 2535.72800
40100000 42.13130 16.77960 41.05700 10.90370 2394.74630 1709.21550
40150000 38.84010 17.25180 43.87060 20.48060 2254.82300 2230.28160
40170000 37.63050 17.26980 45.03880 13.93760 2353.63000 1961.34560
40185000 37.70690 17.35530 44.88310 14.51790 2362.18760 1993.17720
40330000 38.50100 17.28390 44.17290 17.58220 2323.28730 2133.85010
40500000 43.42100 15.69230 40.84090 9.79130 2490.97090 1570.01330
40549998 39.42950 16.75160 43.78720 30.31850 2312.94840 1774.43850
40579995 40.86490 16.93940 42.15890 21.70340 2313.37110 1975.00310
40680000 38.84620 16.93550 44.18730 22.42790 2154.61910 1713.20710
