gauge_id gauge_name gauge_region gauge_lat gauge_lon area_ana area_gsim area_gsim_quality
13840001 cachoeira_fortaleza_-_jusante amazon -8.81940 -66.11390 nan 9832.69400 high
13845000 cachoeira_do_meio amazon -8.80000 -66.13330 nan 5526.22200 high
13848000 gaivotao amazon -8.78330 -65.91670 nan 16742.83000 high
13849000 jurene amazon -8.76750 -65.88440 nan 17266.33000 high
13850000 sao_gregorio amazon -7.55170 -64.93000 nan 41274.81000 high
13870000 labrea amazon -7.25810 -64.79750 226000.00000 227861.40000 high
13880000 canutama amazon -6.53890 -64.38580 236000.00000 237654.60000 high
13885000 cristo amazon -7.46440 -64.24330 7030.00000 5665.48400 low
13885500 fazenda_boa_vista amazon -6.46670 -65.91670 nan 18660.66000 high
13886000 bacaba amazon -6.31920 -64.88610 37800.00000 38243.52000 high
13900000 castanhal_patu amazon -5.66670 -64.33330 nan 317716.30000 high
13950000 beaba_(cariuacanga) amazon -4.85920 -62.86860 nan 357037.80000 high
13962000 aruma_-_jusante amazon -4.72860 -62.14530 366000.00000 368744.30000 high
13990000 beruri amazon -3.89890 -61.37420 378000.00000 nan nan
14100000 manacapuru amazon -3.31060 -60.60940 2200000.00000 2200203.00000 high
14110000 cucui amazon 1.21530 -66.85250 74300.00000 74513.71000 high
14215000 sao_joaquim amazon 1.71640 -69.38440 3330.00000 nan nan
14220000 louro_poco amazon 1.33920 -68.68580 nan 4648.05200 high
14230000 missao_icana amazon 1.07440 -67.59470 23600.00000 23497.75000 high
14250000 sao_felipe amazon 0.37170 -67.31280 124000.00000 123844.40000 high
14260000 uaracu amazon 0.47690 -69.12810 40200.00000 39726.65000 high
14280001 taraqua amazon 0.13030 -68.53860 44300.00000 43867.04000 high
14300000 pari_cachoeira amazon 0.24940 -69.78500 1970.00000 1997.45800 high
14310000 cunuri amazon 0.20940 -69.37810 4250.00000 4556.99500 medium
14325000 tumbira amazon -0.34440 -67.53580 10800.00000 10854.54000 high
14330000 curicuriari amazon -0.20060 -66.80220 194000.00000 193303.70000 high
14350000 jusante_da_cachoeira_do_caju amazon -0.24610 -67.00920 13100.00000 13454.33000 high
14380000 missao_maturaca amazon 0.61940 -66.13500 886.00000 865.16690 high
14420000 serrinha amazon -0.48190 -64.82890 293000.00000 292387.10000 high
14425000 cachoeira_alianca amazon -0.81670 -64.16670 nan 0.21360 caution
14428000 vila_conceicao_-_montante amazon 0.22750 -63.98830 6590.00000 6371.15400 high
14430000 vila_conceicao amazon 0.13000 -63.96060 nan 6543.58900 high
14440000 posto_ajuricaba amazon 0.88420 -62.62190 16900.00000 17771.58000 high
14450000 jalauaca amazon -0.30110 -62.76220 nan 22005.05000 high
14485000 missao_auari amazon 3.98330 -64.46670 nan 700.30700 high
14485010 missao_auaris_-_jusante amazon 4.00310 -64.44310 621.00000 0.42620 caution
14488000 uaicas amazon 3.54970 -63.16920 16100.00000 15288.34000 high
14489000 maraca amazon 3.35280 -61.42220 26700.00000 25779.67000 high
14495000 fazenda_cajupiranga amazon 3.43810 -61.03670 36900.00000 36087.50000 high
