year month day temperature_min
1980 01 01 18.649
1980 01 02 19.626
1980 01 03 20.497
1980 01 04 17.011
1980 01 05 20.693
1980 01 06 21.575
1980 01 07 18.189
1980 01 08 17.817
1980 01 09 18.728
1980 01 10 18.543
1980 01 11 17.670
1980 01 12 18.691
1980 01 13 17.470
1980 01 14 18.446
1980 01 15 19.792
1980 01 16 18.777
1980 01 17 19.042
1980 01 18 18.792
1980 01 19 18.041
1980 01 20 19.164
1980 01 21 20.810
1980 01 22 19.639
1980 01 23 19.680
1980 01 24 19.135
1980 01 25 19.050
1980 01 26 19.165
1980 01 27 20.144
1980 01 28 22.039
1980 01 29 19.514
1980 01 30 21.260
1980 01 31 18.691
1980 02 01 20.539
1980 02 02 19.852
1980 02 03 21.038
1980 02 04 20.037
1980 02 05 19.608
1980 02 06 19.695
1980 02 07 21.245
1980 02 08 19.665
1980 02 09 19.065
1980 02 10 19.935
1980 02 11 19.696
1980 02 12 19.719
1980 02 13 19.813
1980 02 14 19.531
1980 02 15 17.300
1980 02 16 16.086
1980 02 17 17.077
1980 02 18 17.930
1980 02 19 19.119
1980 02 20 21.471
1980 02 21 19.039
1980 02 22 19.657
1980 02 23 18.956
1980 02 24 18.813
1980 02 25 19.665
1980 02 26 18.239
1980 02 27 18.969
1980 02 28 18.695
1980 02 29 18.969
1980 03 01 17.937
1980 03 02 20.342
1980 03 03 17.917
1980 03 04 18.778
1980 03 05 19.675
1980 03 06 18.685
1980 03 07 17.928
1980 03 08 21.128
1980 03 09 18.530
1980 03 10 22.458
1980 03 11 22.155
1980 03 12 21.343
1980 03 13 23.042
1980 03 14 21.117
1980 03 15 21.726
1980 03 16 21.116
1980 03 17 18.496
1980 03 18 21.688
1980 03 19 20.382
1980 03 20 22.647
1980 03 21 18.684
1980 03 22 23.318
1980 03 23 22.132
1980 03 24 19.226
1980 03 25 22.583
1980 03 26 20.060
1980 03 27 20.637
1980 03 28 19.088
1980 03 29 21.375
1980 03 30 22.297
1980 03 31 20.390
1980 04 01 20.240
1980 04 02 19.777
1980 04 03 19.639
1980 04 04 19.367
1980 04 05 19.830
1980 04 06 20.336
1980 04 07 19.926
1980 04 08 21.387
1980 04 09 20.358
1980 04 10 18.858
1980 04 11 20.386
1980 04 12 19.250
1980 04 13 19.328
1980 04 14 18.787
1980 04 15 20.348
1980 04 16 18.514
1980 04 17 19.621
1980 04 18 19.631
1980 04 19 19.240
1980 04 20 18.963
1980 04 21 18.192
1980 04 22 18.218
1980 04 23 17.225
1980 04 24 18.348
1980 04 25 18.075
1980 04 26 19.674
1980 04 27 16.797
1980 04 28 16.218
1980 04 29 18.377
1980 04 30 17.219
1980 05 01 19.517
1980 05 02 20.335
1980 05 03 18.304
1980 05 04 16.305
1980 05 05 19.164
1980 05 06 20.642
1980 05 07 20.740
1980 05 08 19.178
1980 05 09 16.668
1980 05 10 17.726
1980 05 11 20.495
1980 05 12 19.326
1980 05 13 18.171
1980 05 14 17.491
1980 05 15 15.578
1980 05 16 15.691
1980 05 17 18.023
1980 05 18 19.002
1980 05 19 18.898
