year month day temperature_min
1980 01 01 19.751
1980 01 02 16.732
1980 01 03 15.299
1980 01 04 16.484
1980 01 05 16.104
1980 01 06 18.184
1980 01 07 19.831
1980 01 08 17.790
1980 01 09 18.646
1980 01 10 18.950
1980 01 11 18.806
1980 01 12 17.667
1980 01 13 17.208
1980 01 14 17.253
1980 01 15 17.641
1980 01 16 17.729
1980 01 17 18.510
1980 01 18 18.701
1980 01 19 18.353
1980 01 20 18.990
1980 01 21 19.586
1980 01 22 18.676
1980 01 23 19.688
1980 01 24 18.786
1980 01 25 19.562
1980 01 26 18.579
1980 01 27 19.385
1980 01 28 19.306
1980 01 29 20.693
1980 01 30 17.469
1980 01 31 17.480
1980 02 01 19.183
1980 02 02 20.805
1980 02 03 19.238
1980 02 04 17.238
1980 02 05 17.909
1980 02 06 17.510
1980 02 07 18.274
1980 02 08 20.152
1980 02 09 19.279
1980 02 10 20.282
1980 02 11 18.377
1980 02 12 17.197
1980 02 13 19.824
1980 02 14 18.256
1980 02 15 19.207
1980 02 16 18.795
1980 02 17 17.440
1980 02 18 17.872
1980 02 19 18.244
1980 02 20 18.601
1980 02 21 18.114
1980 02 22 20.030
1980 02 23 18.016
1980 02 24 18.329
1980 02 25 19.094
1980 02 26 19.474
1980 02 27 19.092
1980 02 28 18.530
1980 02 29 18.794
1980 03 01 19.587
1980 03 02 18.182
1980 03 03 19.440
1980 03 04 17.257
1980 03 05 18.011
1980 03 06 16.803
1980 03 07 16.275
1980 03 08 18.943
1980 03 09 18.676
1980 03 10 20.178
1980 03 11 18.829
1980 03 12 19.846
1980 03 13 18.335
1980 03 14 18.164
1980 03 15 18.655
1980 03 16 18.536
1980 03 17 16.368
1980 03 18 17.361
1980 03 19 18.064
1980 03 20 17.587
1980 03 21 16.288
1980 03 22 17.604
1980 03 23 17.687
1980 03 24 16.627
1980 03 25 16.169
1980 03 26 17.170
1980 03 27 17.527
1980 03 28 15.377
1980 03 29 16.158
1980 03 30 19.061
1980 03 31 18.142
1980 04 01 15.699
1980 04 02 16.717
1980 04 03 18.111
1980 04 04 18.955
1980 04 05 16.466
1980 04 06 17.585
1980 04 07 17.273
1980 04 08 17.584
1980 04 09 19.294
1980 04 10 17.322
1980 04 11 19.839
1980 04 12 17.907
1980 04 13 18.540
1980 04 14 16.298
1980 04 15 17.878
1980 04 16 16.912
1980 04 17 16.893
1980 04 18 16.774
1980 04 19 15.196
1980 04 20 14.065
1980 04 21 15.531
1980 04 22 14.942
1980 04 23 15.225
1980 04 24 15.105
1980 04 25 15.783
1980 04 26 15.066
1980 04 27 15.583
1980 04 28 13.919
1980 04 29 15.252
1980 04 30 14.304
1980 05 01 13.318
1980 05 02 14.486
1980 05 03 17.122
1980 05 04 15.315
1980 05 05 14.237
1980 05 06 14.215
1980 05 07 13.272
1980 05 08 14.222
1980 05 09 11.827
1980 05 10 13.043
1980 05 11 13.360
1980 05 12 15.524
1980 05 13 15.115
1980 05 14 15.058
1980 05 15 13.789
1980 05 16 14.129
1980 05 17 13.062
1980 05 18 14.173
1980 05 19 16.301
1980 05 20 15.590
1980 05 21 14.937
1980 05 22 14.398
1980 05 23 15.711
1980 05 24 13.768
1980 05 25 14.677
1980 05 26 13.768
1980 05 27 12.989
1980 05 28 12.363
1980 05 29 13.740
1980 05 30 12.088
1980 05 31 13.108
1980 06 01 13.642
1980 06 02 12.338
1980 06 03 13.989
1980 06 04 12.572
1980 06 05 12.385
1980 06 06 12.050
1980 06 07 12.573
1980 06 08 11.843
1980 06 09 14.784
1980 06 10 13.674
1980 06 11 13.674
1980 06 12 12.374
1980 06 13 13.037
1980 06 14 14.107
1980 06 15 9.754
1980 06 16 10.417
1980 06 17 11.476
1980 06 18 11.263
1980 06 19 10.530
1980 06 20 9.306
1980 06 21 13.447
1980 06 22 12.023
1980 06 23 9.937
1980 06 24 12.530
1980 06 25 12.061
1980 06 26 12.507
1980 06 27 12.360
1980 06 28 9.733
1980 06 29 9.130
1980 06 30 6.414
1980 07 01 10.565
1980 07 02 9.098
1980 07 03 12.925
1980 07 04 12.048
1980 07 05 11.829
1980 07 06 10.724
1980 07 07 10.630
1980 07 08 9.492
1980 07 09 13.256
1980 07 10 11.386
1980 07 11 12.064
1980 07 12 10.830
1980 07 13 9.195
1980 07 14 11.409
1980 07 15 12.127
1980 07 16 11.098
1980 07 17 9.247
1980 07 18 10.231
1980 07 19 12.965
1980 07 20 9.127
1980 07 21 10.492
1980 07 22 14.019
1980 07 23 12.767
1980 07 24 13.241
1980 07 25 11.321
1980 07 26 9.949
1980 07 27 12.585
1980 07 28 11.114
1980 07 29 12.530
1980 07 30 14.812
1980 07 31 12.543
1980 08 01 12.030
1980 08 02 10.203
1980 08 03 11.113
1980 08 04 12.138
1980 08 05 11.889
1980 08 06 13.370
1980 08 07 12.770
1980 08 08 13.111
1980 08 09 12.205
1980 08 10 11.903
1980 08 11 13.817
1980 08 12 13.146
1980 08 13 12.893
1980 08 14 11.143
1980 08 15 12.476
1980 08 16 13.465
1980 08 17 11.927
1980 08 18 14.551
1980 08 19 15.767
1980 08 20 14.343
1980 08 21 13.007
1980 08 22 13.456
1980 08 23 13.944
1980 08 24 15.778
1980 08 25 14.788
1980 08 26 13.855
1980 08 27 14.168
1980 08 28 11.549
1980 08 29 9.629
1980 08 30 9.260
1980 08 31 10.180
1980 09 01 11.563
1980 09 02 10.873
1980 09 03 13.119
1980 09 04 13.265
1980 09 05 13.959
1980 09 06 13.375
1980 09 07 13.899
1980 09 08 15.228
1980 09 09 13.145
1980 09 10 13.541
1980 09 11 15.562
1980 09 12 15.999
1980 09 13 14.795
1980 09 14 13.368
1980 09 15 14.693
1980 09 16 15.943
1980 09 17 14.197
1980 09 18 12.534
1980 09 19 12.955
1980 09 20 15.280
1980 09 21 15.900
1980 09 22 16.091
1980 09 23 11.375
1980 09 24 12.306
1980 09 25 14.095
1980 09 26 11.368
1980 09 27 9.891
1980 09 28 10.565
1980 09 29 13.713
1980 09 30 15.271
1980 10 01 15.772
1980 10 02 14.553
1980 10 03 13.867
1980 10 04 12.216
1980 10 05 12.649
1980 10 06 14.873
1980 10 07 13.299
1980 10 08 15.765
1980 10 09 15.642
1980 10 10 15.878
1980 10 11 14.796
1980 10 12 15.034
1980 10 13 15.466
1980 10 14 13.411
1980 10 15 13.526
1980 10 16 14.729
1980 10 17 14.688
1980 10 18 17.633
1980 10 19 17.139
1980 10 20 18.858
1980 10 21 16.242
1980 10 22 20.923
1980 10 23 18.264
1980 10 24 19.933
1980 10 25 18.090
1980 10 26 16.950
1980 10 27 18.342
1980 10 28 16.845
1980 10 29 17.225
1980 10 30 20.398
1980 10 31 19.802
1980 11 01 14.288
1980 11 02 14.267
1980 11 03 14.446
1980 11 04 11.429
1980 11 05 16.068
1980 11 06 19.121
1980 11 07 21.356
1980 11 08 20.433
1980 11 09 19.063
1980 11 10 20.062
1980 11 11 19.452
1980 11 12 17.352
1980 11 13 16.006
1980 11 14 13.715
1980 11 15 14.782
1980 11 16 15.496
1980 11 17 16.607
1980 11 18 16.129
1980 11 19 16.909
1980 11 20 17.640
1980 11 21 18.633
1980 11 22 18.889
1980 11 23 19.488
1980 11 24 18.813
1980 11 25 19.285
1980 11 26 16.455
1980 11 27 15.762
1980 11 28 15.778
1980 11 29 17.293
1980 11 30 18.324
1980 12 01 19.173
1980 12 02 18.069
1980 12 03 18.512
1980 12 04 19.445
1980 12 05 19.263
1980 12 06 18.809
1980 12 07 17.199
1980 12 08 16.324
1980 12 09 18.374
1980 12 10 21.310
1980 12 11 20.653
1980 12 12 18.774
1980 12 13 19.191
1980 12 14 18.758
1980 12 15 18.987
1980 12 16 19.469
1980 12 17 18.678
1980 12 18 19.567
1980 12 19 17.884
1980 12 20 18.213
1980 12 21 19.031
1980 12 22 18.317
1980 12 23 18.077
1980 12 24 18.700
1980 12 25 19.239
1980 12 26 18.501
1980 12 27 19.427
1980 12 28 18.360
1980 12 29 18.102
1980 12 30 19.116
1980 12 31 18.055
1981 01 01 nan
1981 01 02 nan
1981 01 03 16.761
1981 01 04 18.306
1981 01 05 18.882
1981 01 06 19.575
1981 01 07 17.528
1981 01 08 18.469
1981 01 09 18.426
1981 01 10 18.339
1981 01 11 18.537
1981 01 12 18.004
1981 01 13 18.338
1981 01 14 19.003
1981 01 15 19.040
1981 01 16 19.029
1981 01 17 19.983
1981 01 18 19.436
1981 01 19 17.854
1981 01 20 18.800
1981 01 21 17.459
1981 01 22 18.173
1981 01 23 17.285
1981 01 24 11.572
1981 01 25 18.674
1981 01 26 18.189
1981 01 27 18.404
1981 01 28 16.927
1981 01 29 18.303
1981 01 30 20.032
1981 01 31 18.670
1981 02 01 17.702
1981 02 02 18.192
1981 02 03 17.864
1981 02 04 17.874
1981 02 05 17.760
1981 02 06 18.620
1981 02 07 18.544
1981 02 08 18.525
1981 02 09 18.827
1981 02 10 17.695
1981 02 11 16.398
1981 02 12 19.709
1981 02 13 18.882
1981 02 14 18.181
1981 02 15 17.843
1981 02 16 18.286
1981 02 17 17.838
1981 02 18 17.952
1981 02 19 17.474
1981 02 20 17.694
1981 02 21 17.793
1981 02 22 17.783
1981 02 23 17.454
1981 02 24 17.547
1981 02 25 17.917
1981 02 26 17.593
1981 02 27 16.741
1981 02 28 19.078
1981 03 01 19.286
1981 03 02 19.167
1981 03 03 17.635
1981 03 04 18.730
1981 03 05 18.910
1981 03 06 19.593
1981 03 07 18.993
1981 03 08 18.618
1981 03 09 18.676
1981 03 10 18.956
1981 03 11 17.967
1981 03 12 20.438
1981 03 13 18.567
1981 03 14 18.318
1981 03 15 18.360
1981 03 16 19.113
1981 03 17 19.508
1981 03 18 18.988
1981 03 19 18.659
1981 03 20 17.165
1981 03 21 17.935
1981 03 22 17.760
1981 03 23 15.652
1981 03 24 17.092
1981 03 25 18.278
1981 03 26 17.963
1981 03 27 17.715
1981 03 28 17.126
1981 03 29 16.956
1981 03 30 18.409
1981 03 31 19.574
1981 04 01 16.976
1981 04 02 16.415
1981 04 03 17.447
1981 04 04 16.915
1981 04 05 16.879
1981 04 06 17.348
1981 04 07 17.494
1981 04 08 16.353
1981 04 09 15.889
1981 04 10 14.285
1981 04 11 12.168
1981 04 12 13.112
1981 04 13 13.693
1981 04 14 13.571
1981 04 15 12.657
1981 04 16 14.738
1981 04 17 14.146
1981 04 18 12.995
1981 04 19 13.224
1981 04 20 11.346
1981 04 21 13.761
1981 04 22 14.428
1981 04 23 15.055
1981 04 24 18.054
1981 04 25 15.033
1981 04 26 15.192
1981 04 27 16.247
1981 04 28 16.058
1981 04 29 15.592
1981 04 30 15.698
1981 05 01 14.737
1981 05 02 14.318
1981 05 03 15.099
1981 05 04 14.094
1981 05 05 14.320
1981 05 06 14.023
1981 05 07 14.240
1981 05 08 13.091
1981 05 09 14.998
1981 05 10 15.742
1981 05 11 13.442
1981 05 12 11.787
1981 05 13 12.714
1981 05 14 10.054
1981 05 15 13.814
1981 05 16 13.546
1981 05 17 12.929
1981 05 18 15.134
1981 05 19 15.149
1981 05 20 14.531
1981 05 21 12.861
1981 05 22 13.395
1981 05 23 12.421
1981 05 24 11.534
1981 05 25 13.180
1981 05 26 11.588
1981 05 27 11.546
1981 05 28 12.872
1981 05 29 12.107
1981 05 30 11.028
1981 05 31 11.434
1981 06 01 10.879
1981 06 02 13.374
1981 06 03 13.216
1981 06 04 14.584
1981 06 05 12.957
1981 06 06 14.167
1981 06 07 13.052
1981 06 08 10.366
1981 06 09 8.502
1981 06 10 9.114
1981 06 11 7.720
1981 06 12 8.156
1981 06 13 10.266
1981 06 14 9.161
1981 06 15 10.632
1981 06 16 12.812
1981 06 17 15.537
1981 06 18 12.239
1981 06 19 11.846
1981 06 20 13.701
1981 06 21 12.883
1981 06 22 12.753
1981 06 23 11.490
1981 06 24 11.796
1981 06 25 10.341
1981 06 26 10.425
1981 06 27 9.332
1981 06 28 12.405
1981 06 29 11.076
1981 06 30 10.600
1981 07 01 11.021
1981 07 02 10.329
1981 07 03 10.987
1981 07 04 8.407
1981 07 05 6.958
1981 07 06 7.742
1981 07 07 8.404
1981 07 08 7.752
1981 07 09 8.999
1981 07 10 8.492
1981 07 11 9.393
1981 07 12 9.290
1981 07 13 10.174
1981 07 14 11.353
1981 07 15 11.406
1981 07 16 10.088
1981 07 17 11.505
1981 07 18 12.225
1981 07 19 12.759
1981 07 20 11.184
1981 07 21 9.338
1981 07 22 10.208
1981 07 23 10.671
1981 07 24 11.657
1981 07 25 12.955
1981 07 26 12.717
1981 07 27 9.896
1981 07 28 11.519
1981 07 29 10.815
1981 07 30 8.319
1981 07 31 8.869
1981 08 01 11.528
1981 08 02 13.529
1981 08 03 14.415
1981 08 04 13.927
1981 08 05 12.298
1981 08 06 11.546
1981 08 07 11.402
1981 08 08 10.987
1981 08 09 11.671
1981 08 10 12.926
1981 08 11 13.449
1981 08 12 13.673
1981 08 13 11.347
1981 08 14 13.122
1981 08 15 13.328
1981 08 16 13.403
1981 08 17 15.589
1981 08 18 14.871
1981 08 19 11.925
1981 08 20 9.706
1981 08 21 9.563
1981 08 22 10.450
1981 08 23 9.098
1981 08 24 10.995
1981 08 25 9.364
1981 08 26 12.806
1981 08 27 10.263
1981 08 28 13.308
1981 08 29 13.669
1981 08 30 14.269
1981 08 31 16.058
1981 09 01 14.285
1981 09 02 14.451
1981 09 03 13.136
1981 09 04 14.061
1981 09 05 13.011
1981 09 06 12.590
1981 09 07 13.226
1981 09 08 11.535
1981 09 09 12.383
1981 09 10 13.038
1981 09 11 10.485
1981 09 12 12.614
1981 09 13 14.750
1981 09 14 16.229
1981 09 15 17.550
1981 09 16 13.959
1981 09 17 13.936
1981 09 18 15.559
1981 09 19 13.305
1981 09 20 12.216
1981 09 21 12.909
1981 09 22 15.713
1981 09 23 16.299
1981 09 24 14.625
1981 09 25 17.427
1981 09 26 16.268
1981 09 27 16.088
1981 09 28 14.121
1981 09 29 17.039
1981 09 30 17.839
1981 10 01 13.766
1981 10 02 13.157
1981 10 03 15.415
1981 10 04 15.394
1981 10 05 17.016
1981 10 06 16.172
1981 10 07 18.987
1981 10 08 16.485
1981 10 09 17.201
1981 10 10 14.418
