year month day streamflow_mm qual_control_by_ana qual_flag
1980 01 01 0.839942 1 1
1980 01 02 0.803699 1 1
1980 01 03 0.786138 1 1
1980 01 04 0.803699 1 1
1980 01 05 0.698707 1 1
1980 01 06 0.630704 1 1
1980 01 07 1.930971 1 1
1980 01 08 1.707161 1 1
1980 01 09 1.162394 1 1
1980 01 10 1.123161 1 1
1980 01 11 0.988277 1 1
1980 01 12 0.931858 1 1
1980 01 13 0.786138 1 1
1980 01 14 0.715894 1 1
1980 01 15 0.630704 1 1
1980 01 16 0.630704 1 1
1980 01 17 0.613890 1 1
1980 01 18 0.803699 1 1
1980 01 19 0.950540 1 1
1980 01 20 0.786138 1 1
1980 01 21 0.630704 1 1
1980 01 22 0.630704 1 1
1980 01 23 0.630704 1 1
1980 01 24 0.857877 1 1
1980 01 25 1.283079 1 1
1980 01 26 1.930971 1 1
1980 01 27 1.999721 1 1
1980 01 28 1.490823 1 1
1980 01 29 1.182197 1 1
1980 01 30 1.045444 1 1
1980 01 31 0.803699 1 1
1980 02 01 0.803699 1 1
1980 02 02 0.969222 1 1
1980 02 03 0.857877 1 1
1980 02 04 0.786138 1 1
1980 02 05 0.715894 1 1
1980 02 06 0.630704 1 1
1980 02 07 0.630704 1 1
1980 02 08 0.597450 1 1
1980 02 09 0.597450 1 1
1980 02 10 0.630704 1 1
1980 02 11 1.262529 1 1
1980 02 12 3.418805 1 1
1980 02 13 3.025736 1 1
1980 02 14 3.286163 1 1
1980 02 15 2.522443 1 1
1980 02 16 2.162254 1 1
1980 02 17 1.707161 1 1
1980 02 18 2.045678 1 1
1980 02 19 2.045678 1 1
1980 02 20 1.576387 1 1
1980 02 21 1.182197 1 1
1980 02 22 0.988277 1 1
1980 02 23 1.083929 1 1
1980 02 24 1.385830 1 1
1980 02 25 1.818132 1 1
1980 02 26 1.930971 1 1
1980 02 27 1.930971 1 1
1980 02 28 2.280698 1 1
1980 02 29 2.522443 1 1
1980 03 01 2.400636 1 1
1980 03 02 2.162254 1 1
1980 03 03 1.598058 1 1
1980 03 04 1.598058 1 1
1980 03 05 1.385830 1 1
1980 03 06 1.083929 1 1
1980 03 07 1.182197 1 1
1980 03 08 1.598058 1 1
1980 03 09 1.930971 1 1
1980 03 10 2.897577 1 1
1980 03 11 2.522443 1 1
1980 03 12 2.770913 1 1
1980 03 13 3.025736 1 1
1980 03 14 3.286163 1 1
1980 03 15 3.025736 1 1
1980 03 16 2.646118 1 1
1980 03 17 2.162254 1 1
1980 03 18 2.162254 1 1
1980 03 19 2.400636 1 1
1980 03 20 2.646118 1 1
1980 03 21 2.045678 1 1
1980 03 22 1.554716 1 1
1980 03 23 1.385830 1 1
1980 03 24 1.283079 1 1
1980 03 25 0.988277 1 1
1980 03 26 0.803699 1 1
1980 03 27 0.803699 1 1
1980 03 28 0.803699 1 1
1980 03 29 0.803699 1 1
1980 03 30 0.803699 1 1
1980 03 31 0.803699 1 1
1980 04 01 0.803699 1 1
1980 04 02 0.803699 1 1
1980 04 03 0.894868 1 1
1980 04 04 0.988277 1 1
1980 04 05 0.988277 1 1
1980 04 06 0.988277 1 1
1980 04 07 0.803699 1 1
1980 04 08 0.803699 1 1
1980 04 09 0.803699 1 1
1980 04 10 0.803699 1 1
1980 04 11 0.803699 1 1
1980 04 12 0.786138 1 1
1980 04 13 0.988277 1 1
1980 04 14 3.688199 1 1
1980 04 15 4.603617 1 1
1980 04 16 6.380275 1 1
1980 04 17 4.603617 1 1
1980 04 18 3.418805 1 1
1980 04 19 2.522443 1 1
1980 04 20 1.385830 1 1
1980 04 21 1.182197 1 1
1980 04 22 1.045444 1 1
1980 04 23 0.894868 1 1
1980 04 24 0.803699 1 1
1980 04 25 0.803699 1 1
1980 04 26 0.803699 1 1
1980 04 27 0.803699 1 1
1980 04 28 0.803699 1 1
1980 04 29 0.803699 1 1
1980 04 30 0.803699 1 1
1980 05 01 0.803699 1 1
1980 05 02 0.803699 1 1
1980 05 03 0.803699 1 1
1980 05 04 0.803699 1 1
1980 05 05 0.803699 1 1
1980 05 06 0.803699 1 1
1980 05 07 0.786138 1 1
1980 05 08 0.803699 1 1
1980 05 09 0.803699 1 1
1980 05 10 0.988277 1 1
1980 05 11 0.988277 1 1
1980 05 12 0.988277 1 1
1980 05 13 0.988277 1 1
1980 05 14 0.803699 1 1
1980 05 15 0.803699 1 1
1980 05 16 0.803699 1 1
1980 05 17 0.803699 1 1
1980 05 18 0.803699 1 1
1980 05 19 0.768204 1 1
1980 05 20 0.786138 1 1
1980 05 21 0.803699 1 1
1980 05 22 0.803699 1 1
1980 05 23 0.803699 1 1
1980 05 24 0.803699 1 1
1980 05 25 0.803699 1 1
1980 05 26 0.803699 1 1
1980 05 27 0.803699 1 1
1980 05 28 0.803699 1 1
1980 05 29 0.768204 1 1
1980 05 30 0.630704 1 1
1980 05 31 0.630704 1 1
1980 06 01 0.630704 1 1
1980 06 02 0.630704 1 1
1980 06 03 0.630704 1 1
1980 06 04 0.630704 1 1
1980 06 05 0.630704 1 1
1980 06 06 0.630704 1 1
1980 06 07 0.630704 1 1
1980 06 08 0.630704 1 1
1980 06 09 0.630704 1 1
1980 06 10 0.630704 1 1
1980 06 11 0.630704 1 1
1980 06 12 0.681519 1 1
1980 06 13 0.715894 1 1
1980 06 14 0.803699 1 1
1980 06 15 0.803699 1 1
1980 06 16 0.803699 1 1
1980 06 17 0.786138 1 1
1980 06 18 0.630704 1 1
1980 06 19 0.630704 1 1
1980 06 20 0.630704 1 1
1980 06 21 0.630704 1 1
1980 06 22 0.803699 1 1
1980 06 23 0.768204 1 1
1980 06 24 0.715894 1 1
1980 06 25 1.083929 1 1
1980 06 26 1.385830 1 1
1980 06 27 1.490823 1 1
1980 06 28 1.707161 1 1
1980 06 29 1.385830 1 1
1980 06 30 1.182197 1 1
1980 07 01 1.385830 1 1
1980 07 02 1.490823 1 1
1980 07 03 2.045678 1 1
1980 07 04 1.930971 1 1
1980 07 05 1.554716 1 1
1980 07 06 1.490823 1 1
1980 07 07 1.344356 1 1
1980 07 08 1.283079 1 1
1980 07 09 1.685116 1 1
1980 07 10 2.045678 1 1
1980 07 11 3.418805 1 1
1980 07 12 5.172670 1 1
1980 07 13 5.172670 1 1
1980 07 14 3.688199 1 1
1980 07 15 3.155389 1 1
1980 07 16 2.162254 1 1
1980 07 17 1.707161 1 1
1980 07 18 1.283079 1 1
1980 07 19 1.182197 1 1
1980 07 20 0.988277 1 1
1980 07 21 0.894868 1 1
1980 07 22 0.894868 1 1
1980 07 23 0.988277 1 1
1980 07 24 0.988277 1 1
1980 07 25 0.988277 1 1
1980 07 26 0.988277 1 1
1980 07 27 0.988277 1 1
1980 07 28 0.988277 1 1
1980 07 29 1.930971 1 1
1980 07 30 3.286163 1 1
1980 07 31 3.286163 1 1
1980 08 01 4.058103 1 1
1980 08 02 4.603617 1 1
1980 08 03 3.365748 1 1
1980 08 04 2.646118 1 1
1980 08 05 2.280698 1 1
1980 08 06 1.930971 1 1
1980 08 07 1.283079 1 1
1980 08 08 1.182197 1 1
1980 08 09 1.283079 1 1
1980 08 10 1.598058 1 1
1980 08 11 1.663071 1 1
1980 08 12 1.365280 1 1
1980 08 13 1.182197 1 1
1980 08 14 1.182197 1 1
1980 08 15 1.182197 1 1
1980 08 16 1.083929 1 1
1980 08 17 0.988277 1 1
1980 08 18 0.988277 1 1
1980 08 19 0.988277 1 1
1980 08 20 1.064500 1 1
1980 08 21 1.182197 1 1
1980 08 22 1.385830 1 1
1980 08 23 1.533418 1 1
1980 08 24 1.707161 1 1
1980 08 25 2.473496 1 1
1980 08 26 3.233853 1 1
1980 08 27 3.552942 1 1
1980 08 28 3.552942 1 1
1980 08 29 3.552942 1 1
1980 08 30 2.770913 1 1
1980 08 31 1.818132 1 1
1980 09 01 1.818132 1 1
1980 09 02 2.045678 1 1
1980 09 03 2.522443 1 1
1980 09 04 2.720846 1 1
1980 09 05 2.400636 1 1
1980 09 06 1.930971 1 1
1980 09 07 1.598058 1 1
1980 09 08 1.490823 1 1
1980 09 09 1.976555 1 1
1980 09 10 2.162254 1 1
1980 09 11 2.522443 1 2
1980 09 12 6.255479 1 1
1980 09 13 5.525387 1 1
1980 09 14 3.846996 1 1
1980 09 15 3.025736 1 1
1980 09 16 3.025736 1 1
1980 09 17 2.522443 1 1
1980 09 18 1.818132 1 1
1980 09 19 1.818132 1 1
1980 09 20 5.644951 1 1
1980 09 21 2.635656 1 1
1980 09 22 2.771661 1 1
1980 09 23 2.771661 1 1
1980 09 24 2.771661 1 1
1980 09 25 2.658448 1 1
1980 09 26 2.545608 1 1
1980 09 27 2.545608 1 1
1980 09 28 2.545608 1 1
1980 09 29 2.658448 1 2
1980 09 30 2.545608 1 1
1980 10 01 2.545608 1 1
1980 10 02 2.455561 1 1
1980 10 03 2.321425 1 1
1980 10 04 2.299006 1 1
1980 10 05 1.618982 1 1
1980 10 06 1.770679 1 1
1980 10 07 2.232498 1 1
1980 10 08 2.545608 1 1
1980 10 09 2.748869 1 1
1980 10 10 2.635656 1 1
1980 10 11 2.771661 1 1
1980 10 12 3.044791 1 1
1980 10 13 3.113541 1 1
1980 10 14 2.999207 1 1
1980 10 15 2.999207 1 1
1980 10 16 2.545608 1 1
1980 10 17 2.055393 1 1
1980 10 18 1.923498 1 1
1980 10 19 2.033348 1 1
1980 10 20 2.099482 1 1
1980 10 21 2.121527 1 1
1980 10 22 2.033348 1 1
1980 10 23 2.099482 1 1
1980 10 24 1.989259 1 1
1980 10 25 1.683995 1 1
1980 10 26 1.662324 1 1
1980 10 27 1.770679 1 1
1980 10 28 2.055393 1 1
1980 10 29 1.989259 1 1
1980 10 30 1.749008 1 1
1980 10 31 1.814022 1 1
1980 11 01 1.662324 1 1
1980 11 02 1.618982 1 1
1980 11 03 1.447481 1 1
1980 11 04 1.320070 1 1
1980 11 05 1.236001 1 1
1980 11 06 1.236001 1 1
1980 11 07 1.236001 1 1
1980 11 08 1.320070 1 1
1980 11 09 1.554716 1 1
1980 11 10 2.099482 1 1
1980 11 11 2.055393 1 1
1980 11 12 1.836066 1 1
1980 11 13 1.597684 1 1
1980 11 14 1.447481 1 1
1980 11 15 1.404886 1 1
1980 11 16 1.214703 1 1
1980 11 17 1.105227 1 1
1980 11 18 1.012564 1 1
1980 11 19 1.012564 1 1
1980 11 20 1.012564 1 1
1980 11 21 1.012564 1 1
1980 11 22 1.012564 1 1
1980 11 23 1.299146 1 1
1980 11 24 2.613237 1 1
1980 11 25 2.771661 1 1
1980 11 26 2.885247 1 1
1980 11 27 4.382422 1 1
1980 11 28 3.343703 1 1
1980 11 29 2.771661 1 1
1980 11 30 1.662324 1 1
1980 12 01 1.447481 1 1
1980 12 02 0.899725 1 1
1980 12 03 1.554716 1 1
1980 12 04 2.658448 1 1
1980 12 05 2.862455 1 1
1980 12 06 2.748869 1 1
1980 12 07 2.771661 1 1
1980 12 08 2.658448 1 1
1980 12 09 1.989259 1 1
1980 12 10 1.705666 1 1
1980 12 11 1.511747 1 1
1980 12 12 1.989259 1 1
1980 12 13 2.885247 1 1
1980 12 14 3.228622 1 1
1980 12 15 3.228622 1 1
1980 12 16 2.976415 1 1
1980 12 17 2.433143 1 1
1980 12 18 1.554716 1 1
1980 12 19 2.321425 1 1
1980 12 20 3.274580 1 1
1980 12 21 9.770309 1 1
1980 12 22 12.993327 1 1
1980 12 23 12.832288 1 1
1980 12 24 9.770309 1 1
1980 12 25 7.016583 1 1
1980 12 26 4.273319 1 1
1980 12 27 5.406943 1 1
1980 12 28 6.380275 1 1
1980 12 29 6.380275 1 1
1980 12 30 6.380275 1 1
1980 12 31 4.603617 1 1
1981 01 01 3.761806 1 1
1981 01 02 3.343703 1 1
1981 01 03 2.771661 1 1
1981 01 04 2.908039 1 1
1981 01 05 3.205457 1 1
1981 01 06 3.251414 1 1
1981 01 07 3.459532 1 1
1981 01 08 3.459532 1 1
1981 01 09 3.575360 1 1
1981 01 10 5.172670 1 1
1981 01 11 6.380275 1 1
1981 01 12 5.765263 1 1
1981 01 13 4.382422 1 1
1981 01 14 3.738641 1 1
1981 01 15 3.343703 1 1
1981 01 16 3.113541 1 1
1981 01 17 2.885247 1 1
1981 01 18 2.545608 1 1
1981 01 19 2.321425 1 1
1981 01 20 2.545608 1 1
1981 01 21 2.658448 1 1
1981 01 22 2.816871 1 1
1981 01 23 2.976415 1 1
1981 01 24 2.658448 1 1
1981 01 25 2.343843 1 1
1981 01 26 2.165990 1 1
1981 01 27 1.836066 1 1
1981 01 28 1.662324 1 1
1981 01 29 1.662324 1 1
1981 01 30 1.770679 1 1
1981 01 31 2.771661 1 1
1981 02 01 2.771661 1 1
1981 02 02 1.879782 1 1
1981 02 03 1.967214 1 1
1981 02 04 3.691936 1 1
1981 02 05 2.999207 1 1
1981 02 06 2.099482 1 1
1981 02 07 1.989259 1 1
1981 02 08 1.879782 1 1
1981 02 09 1.814022 1 1
1981 02 10 1.662324 1 1
1981 02 11 1.597684 1 1
1981 02 12 1.533044 1 1
1981 02 13 1.618982 1 1
1981 02 14 1.770679 1 1
1981 02 15 1.879782 1 1
1981 02 16 1.727337 1 1
1981 02 17 1.618982 1 1
1981 02 18 1.447481 1 1
1981 02 19 1.447481 1 1
1981 02 20 1.404886 1 1
1981 02 21 1.277848 1 1
1981 02 22 1.426183 1 1
1981 02 23 1.727337 1 1
1981 02 24 1.640653 1 1
1981 02 25 1.426183 1 1
1981 02 26 1.256925 1 1
1981 02 27 1.236001 1 1
1981 02 28 1.172856 1 1
1981 03 01 1.082061 1 1
1981 03 02 1.058895 1 1
1981 03 03 1.172856 1 1
1981 03 04 1.236001 1 1
1981 03 05 1.299146 1 1
1981 03 06 1.214703 1 1
1981 03 07 1.151932 1 1
1981 03 08 1.082061 1 1
1981 03 09 1.012564 1 1
1981 03 10 1.012564 1 1
1981 03 11 1.012564 1 1
1981 03 12 1.012564 1 1
1981 03 13 0.967354 1 1
1981 03 14 0.944562 1 1
1981 03 15 0.811546 1 1
1981 03 16 0.967354 1 1
1981 03 17 1.299146 1 1
1981 03 18 1.193779 1 1
1981 03 19 1.012564 1 1
1981 03 20 1.012564 1 1
1981 03 21 0.967354 1 2
1981 03 22 0.944562 1 1
1981 03 23 0.899725 1 1
1981 03 24 0.833591 1 1
1981 03 25 0.789875 1 1
1981 03 26 0.789875 1 1
1981 03 27 0.789875 1 1
1981 03 28 0.789875 1 1
1981 03 29 0.789875 1 1
1981 03 30 0.789875 1 1
1981 03 31 0.855262 1 1
1981 04 01 0.899725 1 1
1981 04 02 0.811546 1 1
1981 04 03 0.789875 1 1
1981 04 04 0.789875 1 1
1981 04 05 0.746906 1 1
1981 04 06 0.746906 1 1
1981 04 07 0.746906 1 1
1981 04 08 0.746906 1 1
1981 04 09 0.746906 1 1
1981 04 10 0.746906 1 1
1981 04 11 0.746906 1 1
1981 04 12 0.725609 1 1
1981 04 13 0.662464 1 1
1981 04 14 0.662464 1 1
1981 04 15 0.725609 1 1
1981 04 16 1.012564 1 1
1981 04 17 1.012564 1 1
1981 04 18 1.012564 1 1
1981 04 19 0.944562 1 1
1981 04 20 0.789875 1 1
1981 04 21 0.789875 1 1
1981 04 22 0.746906 1 1
1981 04 23 0.704311 1 1
1981 04 24 0.683387 1 1
1981 04 25 0.811546 1 1
1981 04 26 0.967354 1 1
1981 04 27 1.662324 1 1
1981 04 28 1.857737 1 1
1981 04 29 2.099482 1 1
1981 04 30 2.011303 1 1
1981 05 01 1.468778 1 1
1981 05 02 1.554716 1 1
1981 05 03 1.770679 1 1
1981 05 04 2.121527 1 1
1981 05 05 1.989259 1 1
1981 05 06 1.214703 1 1
1981 05 07 1.082061 1 1
1981 05 08 1.012564 1 1
1981 05 09 1.012564 1 1
1981 05 10 0.967354 1 1
1981 05 11 0.789875 1 1
1981 05 12 0.768204 1 1
1981 05 13 0.746906 1 1
1981 05 14 0.746906 1 1
1981 05 15 0.746906 1 1
1981 05 16 0.725609 1 1
1981 05 17 0.746906 1 1
1981 05 18 0.746906 1 1
1981 05 19 0.789875 1 1
1981 05 20 0.789875 1 1
1981 05 21 0.811546 1 1
1981 05 22 0.899725 1 1
1981 05 23 1.012564 1 1
1981 05 24 0.899725 1 1
1981 05 25 0.789875 1 1
1981 05 26 0.789875 1 1
1981 05 27 0.789875 1 1
1981 05 28 0.789875 1 1
1981 05 29 0.789875 1 1
1981 05 30 0.789875 1 1
1981 05 31 0.789875 1 1
1981 06 01 0.746906 1 1
1981 06 02 0.746906 1 1
1981 06 03 0.789875 1 1
1981 06 04 0.789875 1 1
1981 06 05 0.789875 1 1
1981 06 06 0.789875 1 1
1981 06 07 0.789875 1 1
1981 06 08 0.789875 1 1
1981 06 09 0.789875 1 1
1981 06 10 0.789875 1 1
1981 06 11 0.746906 1 1
1981 06 12 0.704311 1 1
1981 06 13 0.683387 1 1
1981 06 14 0.662464 1 1
1981 06 15 0.683387 1 1
1981 06 16 0.746906 1 1
1981 06 17 0.746906 1 1
1981 06 18 0.662464 1 1
1981 06 19 0.580636 1 1
1981 06 20 0.580636 1 1
1981 06 21 0.580636 1 1
1981 06 22 0.580636 1 1
1981 06 23 0.580636 1 1
1981 06 24 0.580636 1 1
1981 06 25 0.580636 1 1
1981 06 26 0.580636 1 1
1981 06 27 0.580636 1 1
1981 06 28 0.580636 1 1
1981 06 29 0.580636 1 1
1981 06 30 0.580636 1 1
1981 07 01 0.580636 1 1
1981 07 02 0.580636 1 1
1981 07 03 0.683387 1 1
1981 07 04 0.746906 1 1
1981 07 05 1.012564 1 1
1981 07 06 1.058895 1 1
1981 07 07 1.058895 1 1
1981 07 08 1.012564 1 1
1981 07 09 0.944562 1 1
1981 07 10 0.833591 1 1
1981 07 11 0.725609 1 1
1981 07 12 0.580636 1 1
1981 07 13 0.580636 1 1
1981 07 14 0.580636 1 1
1981 07 15 0.580636 1 1
1981 07 16 0.540283 1 1
1981 07 17 0.540283 1 1
1981 07 18 0.540283 1 1
1981 07 19 0.540283 1 1
1981 07 20 0.540283 1 1
1981 07 21 0.560460 1 1
1981 07 22 0.501051 1 1
1981 07 23 0.501051 1 1
1981 07 24 0.501051 1 1
1981 07 25 0.520480 1 1
1981 07 26 0.789875 1 1
1981 07 27 1.012564 1 1
1981 07 28 1.012564 1 1
1981 07 29 0.746906 1 1
1981 07 30 0.683387 1 1
1981 07 31 0.580636 1 1
1981 08 01 0.580636 1 1
1981 08 02 0.580636 1 1
1981 08 03 0.580636 1 1
1981 08 04 0.580636 1 1
1981 08 05 0.580636 1 1
1981 08 06 0.540283 1 1
1981 08 07 0.540283 1 1
1981 08 08 0.560460 1 1
1981 08 09 0.580636 1 1
1981 08 10 0.580636 1 1
1981 08 11 0.683387 1 1
1981 08 12 1.082061 1 1
1981 08 13 1.193779 1 1
1981 08 14 1.236001 1 1
1981 08 15 1.172856 1 1
1981 08 16 1.012564 1 1
1981 08 17 0.855262 1 1
1981 08 18 0.768204 1 1
1981 08 19 0.704311 1 1
1981 08 20 0.704311 1 1
1981 08 21 0.704311 1 1
1981 08 22 0.704311 1 1
1981 08 23 0.580636 1 1
1981 08 24 0.580636 1 1
1981 08 25 0.540283 1 1
1981 08 26 0.501051 1 1
1981 08 27 0.462193 1 1
1981 08 28 0.481622 1 1
1981 08 29 0.560460 1 1
1981 08 30 0.580636 1 1
