year month day temperature_max
1980 01 01 17.757
1980 01 02 20.675
1980 01 03 23.170
1980 01 04 26.947
1980 01 05 27.638
1980 01 06 26.631
1980 01 07 27.984
1980 01 08 27.002
1980 01 09 25.619
1980 01 10 23.605
1980 01 11 25.355
1980 01 12 26.965
1980 01 13 28.460
1980 01 14 26.725
1980 01 15 26.034
1980 01 16 26.205
1980 01 17 27.198
1980 01 18 25.331
1980 01 19 27.533
1980 01 20 28.143
1980 01 21 28.145
1980 01 22 27.518
1980 01 23 30.213
1980 01 24 28.272
1980 01 25 21.178
1980 01 26 23.043
1980 01 27 26.005
1980 01 28 28.157
1980 01 29 28.606
1980 01 30 28.145
1980 01 31 27.730
1980 02 01 23.396
1980 02 02 26.340
1980 02 03 26.752
1980 02 04 28.699
1980 02 05 28.522
1980 02 06 28.114
1980 02 07 28.420
1980 02 08 28.552
1980 02 09 29.935
1980 02 10 30.016
1980 02 11 25.781
1980 02 12 25.502
1980 02 13 28.119
1980 02 14 30.444
1980 02 15 31.054
1980 02 16 29.929
1980 02 17 29.496
1980 02 18 23.029
1980 02 19 23.156
1980 02 20 24.134
1980 02 21 26.718
1980 02 22 27.815
1980 02 23 28.844
1980 02 24 28.050
1980 02 25 28.987
1980 02 26 24.991
1980 02 27 26.699
1980 02 28 27.169
1980 02 29 28.462
1980 03 01 24.478
1980 03 02 27.359
1980 03 03 28.676
1980 03 04 29.751
1980 03 05 28.528
1980 03 06 29.732
1980 03 07 29.664
1980 03 08 29.335
1980 03 09 28.219
1980 03 10 28.039
1980 03 11 29.233
1980 03 12 28.253
1980 03 13 24.879
1980 03 14 25.226
1980 03 15 25.492
1980 03 16 24.852
1980 03 17 25.071
1980 03 18 27.310
1980 03 19 29.569
1980 03 20 30.388
1980 03 21 30.512
1980 03 22 30.605
1980 03 23 30.919
1980 03 24 31.951
1980 03 25 31.119
1980 03 26 30.861
1980 03 27 29.673
1980 03 28 29.782
1980 03 29 24.222
1980 03 30 25.484
1980 03 31 25.582
1980 04 01 25.435
1980 04 02 26.461
1980 04 03 26.242
1980 04 04 25.561
1980 04 05 26.114
1980 04 06 27.416
1980 04 07 26.453
1980 04 08 25.390
1980 04 09 25.762
1980 04 10 28.270
1980 04 11 28.239
1980 04 12 29.694
1980 04 13 24.606
1980 04 14 20.140
1980 04 15 15.634
1980 04 16 17.267
1980 04 17 20.755
1980 04 18 23.550
1980 04 19 28.114
1980 04 20 25.697
1980 04 21 27.233
1980 04 22 28.162
1980 04 23 27.220
1980 04 24 27.893
1980 04 25 26.891
1980 04 26 25.986
1980 04 27 24.253
1980 04 28 25.614
1980 04 29 26.367
1980 04 30 26.722
1980 05 01 26.794
1980 05 02 18.824
1980 05 03 15.002
1980 05 04 14.499
1980 05 05 15.766
1980 05 06 21.676
1980 05 07 21.632
1980 05 08 21.879
1980 05 09 22.001
1980 05 10 17.800
1980 05 11 19.992
1980 05 12 25.207
1980 05 13 26.555
1980 05 14 25.044
1980 05 15 25.231
1980 05 16 25.631
1980 05 17 23.960
1980 05 18 21.895
1980 05 19 20.888
1980 05 20 22.429
1980 05 21 20.781
1980 05 22 21.163
1980 05 23 18.821
1980 05 24 21.649
1980 05 25 20.766
1980 05 26 22.180
1980 05 27 21.479
1980 05 28 22.338
1980 05 29 24.424
1980 05 30 24.626
1980 05 31 24.969
1980 06 01 24.662
1980 06 02 18.828
1980 06 03 17.462
1980 06 04 11.471
1980 06 05 14.142
1980 06 06 18.382
1980 06 07 22.867
1980 06 08 23.946
1980 06 09 24.593
1980 06 10 24.882
1980 06 11 24.715
1980 06 12 24.306
1980 06 13 23.515
