year month day temperature_max
1980 01 01 32.457
1980 01 02 33.205
1980 01 03 32.405
1980 01 04 31.705
1980 01 05 31.623
1980 01 06 32.204
1980 01 07 32.696
1980 01 08 31.540
1980 01 09 31.959
1980 01 10 32.253
1980 01 11 31.855
1980 01 12 30.225
1980 01 13 31.893
1980 01 14 33.472
1980 01 15 29.333
1980 01 16 32.006
1980 01 17 31.524
1980 01 18 32.375
1980 01 19 30.967
1980 01 20 30.660
1980 01 21 31.696
1980 01 22 33.347
1980 01 23 32.500
1980 01 24 32.370
1980 01 25 32.568
1980 01 26 32.581
1980 01 27 32.556
1980 01 28 30.839
1980 01 29 32.471
1980 01 30 31.683
1980 01 31 32.648
1980 02 01 31.741
1980 02 02 32.537
1980 02 03 32.639
1980 02 04 30.833
1980 02 05 31.636
1980 02 06 28.225
1980 02 07 27.678
1980 02 08 28.707
1980 02 09 28.665
1980 02 10 29.540
1980 02 11 31.305
1980 02 12 29.820
1980 02 13 30.800
1980 02 14 32.257
1980 02 15 28.499
1980 02 16 30.298
1980 02 17 28.146
1980 02 18 28.502
1980 02 19 29.183
1980 02 20 27.162
1980 02 21 29.362
1980 02 22 29.062
1980 02 23 29.256
1980 02 24 29.046
1980 02 25 31.007
1980 02 26 27.095
1980 02 27 27.938
1980 02 28 30.263
1980 02 29 31.216
1980 03 01 30.605
1980 03 02 30.180
1980 03 03 29.070
1980 03 04 27.402
1980 03 05 27.503
1980 03 06 27.586
1980 03 07 29.041
1980 03 08 29.676
1980 03 09 30.107
1980 03 10 31.112
1980 03 11 31.123
1980 03 12 31.201
1980 03 13 31.204
1980 03 14 30.257
1980 03 15 30.259
1980 03 16 30.966
1980 03 17 30.307
1980 03 18 30.248
1980 03 19 30.264
1980 03 20 31.104
1980 03 21 30.287
1980 03 22 30.233
1980 03 23 29.784
1980 03 24 31.140
1980 03 25 31.261
1980 03 26 29.465
1980 03 27 30.418
1980 03 28 31.198
1980 03 29 31.143
1980 03 30 30.368
1980 03 31 30.402
1980 04 01 31.230
1980 04 02 31.210
1980 04 03 31.224
1980 04 04 31.965
1980 04 05 30.158
1980 04 06 31.927
1980 04 07 31.164
1980 04 08 30.257
1980 04 09 31.979
1980 04 10 31.191
1980 04 11 31.301
1980 04 12 32.257
1980 04 13 31.213
1980 04 14 31.315
1980 04 15 32.068
1980 04 16 32.288
1980 04 17 32.172
1980 04 18 31.283
1980 04 19 32.150
1980 04 20 28.498
1980 04 21 31.156
1980 04 22 31.154
1980 04 23 30.309
1980 04 24 30.929
1980 04 25 29.120
1980 04 26 30.128
1980 04 27 31.929
1980 04 28 31.064
1980 04 29 32.261
1980 04 30 32.999
1980 05 01 31.767
1980 05 02 32.770
1980 05 03 32.852
1980 05 04 32.924
1980 05 05 32.059
1980 05 06 32.868
1980 05 07 32.103
1980 05 08 30.146
1980 05 09 33.007
1980 05 10 31.920
1980 05 11 32.070
1980 05 12 32.769
1980 05 13 32.100
1980 05 14 31.890
1980 05 15 37.787
1980 05 16 30.828
