year month day temperature_max
1980 01 01 27.197
1980 01 02 26.724
1980 01 03 26.802
1980 01 04 28.686
1980 01 05 28.412
1980 01 06 28.631
1980 01 07 29.960
1980 01 08 29.134
1980 01 09 27.240
1980 01 10 29.145
1980 01 11 28.453
1980 01 12 26.396
1980 01 13 24.048
1980 01 14 24.437
1980 01 15 26.273
1980 01 16 26.158
1980 01 17 24.982
1980 01 18 27.434
1980 01 19 29.485
1980 01 20 29.732
1980 01 21 30.224
1980 01 22 30.513
1980 01 23 28.808
1980 01 24 30.154
1980 01 25 30.026
1980 01 26 29.739
1980 01 27 28.486
1980 01 28 29.928
1980 01 29 28.745
1980 01 30 27.695
1980 01 31 28.197
1980 02 01 27.912
1980 02 02 27.966
1980 02 03 26.331
1980 02 04 27.739
1980 02 05 28.194
1980 02 06 29.205
1980 02 07 30.370
1980 02 08 29.432
1980 02 09 29.747
1980 02 10 29.109
1980 02 11 28.870
1980 02 12 29.028
1980 02 13 27.644
1980 02 14 27.566
1980 02 15 25.018
1980 02 16 23.596
1980 02 17 23.629
1980 02 18 23.759
1980 02 19 23.619
1980 02 20 29.125
1980 02 21 28.537
1980 02 22 28.820
1980 02 23 29.029
1980 02 24 29.778
1980 02 25 29.212
1980 02 26 29.583
1980 02 27 29.569
1980 02 28 29.311
1980 02 29 29.206
1980 03 01 28.884
1980 03 02 28.784
1980 03 03 28.380
1980 03 04 29.289
1980 03 05 27.881
1980 03 06 28.527
1980 03 07 29.136
1980 03 08 29.273
1980 03 09 28.075
1980 03 10 30.190
1980 03 11 31.905
1980 03 12 30.461
1980 03 13 30.323
1980 03 14 30.309
1980 03 15 30.322
1980 03 16 29.358
1980 03 17 29.723
1980 03 18 29.932
1980 03 19 29.716
1980 03 20 28.785
1980 03 21 29.157
1980 03 22 29.900
1980 03 23 29.972
1980 03 24 30.710
1980 03 25 30.264
1980 03 26 30.274
1980 03 27 30.398
1980 03 28 31.061
1980 03 29 31.511
1980 03 30 32.124
1980 03 31 31.805
1980 04 01 31.371
1980 04 02 30.911
1980 04 03 28.418
1980 04 04 28.264
1980 04 05 28.238
1980 04 06 27.816
1980 04 07 28.800
1980 04 08 28.667
1980 04 09 28.169
1980 04 10 29.023
1980 04 11 30.140
1980 04 12 30.322
1980 04 13 31.646
1980 04 14 30.488
1980 04 15 29.994
1980 04 16 28.716
1980 04 17 29.920
1980 04 18 28.063
1980 04 19 28.319
1980 04 20 28.841
1980 04 21 28.120
1980 04 22 28.718
1980 04 23 28.283
1980 04 24 27.961
1980 04 25 28.100
