year month day temperature_max
1980 01 01 24.894
1980 01 02 24.758
1980 01 03 26.919
1980 01 04 30.905
1980 01 05 30.707
1980 01 06 30.676
1980 01 07 27.219
1980 01 08 28.026
1980 01 09 23.593
1980 01 10 29.042
1980 01 11 27.959
1980 01 12 27.722
1980 01 13 25.097
1980 01 14 28.414
1980 01 15 29.095
1980 01 16 28.447
1980 01 17 29.260
1980 01 18 30.275
1980 01 19 25.571
1980 01 20 28.356
1980 01 21 30.005
1980 01 22 29.727
1980 01 23 31.421
1980 01 24 29.495
1980 01 25 30.268
1980 01 26 28.377
1980 01 27 28.974
1980 01 28 29.181
1980 01 29 28.628
1980 01 30 29.777
1980 01 31 27.415
1980 02 01 29.238
1980 02 02 29.899
1980 02 03 28.330
1980 02 04 29.540
1980 02 05 30.712
1980 02 06 30.592
1980 02 07 31.174
1980 02 08 30.680
1980 02 09 29.430
1980 02 10 28.164
1980 02 11 27.557
1980 02 12 29.476
1980 02 13 26.341
1980 02 14 24.836
1980 02 15 25.833
1980 02 16 23.138
1980 02 17 30.303
1980 02 18 26.173
1980 02 19 28.747
1980 02 20 26.329
1980 02 21 30.107
1980 02 22 29.925
1980 02 23 27.545
1980 02 24 29.088
1980 02 25 27.722
1980 02 26 26.670
1980 02 27 26.450
1980 02 28 26.205
1980 02 29 25.293
1980 03 01 27.169
1980 03 02 29.175
1980 03 03 31.216
1980 03 04 29.248
1980 03 05 30.804
1980 03 06 28.222
1980 03 07 29.257
1980 03 08 29.559
1980 03 09 30.308
1980 03 10 25.989
1980 03 11 31.665
1980 03 12 32.620
1980 03 13 31.825
1980 03 14 31.483
1980 03 15 29.672
1980 03 16 28.304
1980 03 17 28.593
1980 03 18 27.793
1980 03 19 30.157
1980 03 20 30.916
1980 03 21 30.310
1980 03 22 30.905
1980 03 23 31.499
1980 03 24 31.243
1980 03 25 32.092
1980 03 26 32.124
1980 03 27 32.239
1980 03 28 32.525
1980 03 29 31.683
1980 03 30 28.866
1980 03 31 29.471
1980 04 01 28.138
1980 04 02 28.625
1980 04 03 26.392
1980 04 04 24.662
1980 04 05 25.077
1980 04 06 26.363
1980 04 07 29.209
1980 04 08 28.414
1980 04 09 27.146
1980 04 10 26.937
1980 04 11 28.608
1980 04 12 29.613
1980 04 13 29.355
1980 04 14 28.460
1980 04 15 25.869
1980 04 16 25.403
1980 04 17 27.567
1980 04 18 28.613
1980 04 19 28.159
1980 04 20 28.773
1980 04 21 29.529
1980 04 22 28.710
1980 04 23 29.552
1980 04 24 29.426
1980 04 25 29.112
1980 04 26 28.481
1980 04 27 28.847
1980 04 28 28.267
1980 04 29 28.757
1980 04 30 28.774
1980 05 01 29.465
1980 05 02 27.874
1980 05 03 22.568
1980 05 04 18.552
1980 05 05 23.642
1980 05 06 28.420
1980 05 07 29.974
1980 05 08 30.425
1980 05 09 34.491
1980 05 10 30.341
1980 05 11 29.518
1980 05 12 28.470
1980 05 13 30.410
1980 05 14 28.529
1980 05 15 28.029
1980 05 16 27.983
1980 05 17 28.550
1980 05 18 28.301
1980 05 19 29.580
1980 05 20 30.669
1980 05 21 27.895
1980 05 22 22.171
1980 05 23 23.764
1980 05 24 25.098
1980 05 25 28.287
1980 05 26 23.001
1980 05 27 28.117
1980 05 28 28.508
1980 05 29 29.020
1980 05 30 28.408
1980 05 31 27.945
1980 06 01 28.243
1980 06 02 28.339
1980 06 03 27.234
1980 06 04 24.520
1980 06 05 25.808
1980 06 06 27.388
1980 06 07 28.696
1980 06 08 27.238
1980 06 09 27.447
1980 06 10 27.710
1980 06 11 27.836
1980 06 12 28.468
1980 06 13 28.427
1980 06 14 25.848
1980 06 15 18.960
1980 06 16 24.832
1980 06 17 27.641
1980 06 18 26.916
1980 06 19 26.995
1980 06 20 27.408
1980 06 21 26.053
1980 06 22 25.882
1980 06 23 27.502
1980 06 24 27.178
1980 06 25 29.538
1980 06 26 28.784
1980 06 27 15.385
1980 06 28 22.875
1980 06 29 26.340
1980 06 30 27.807
1980 07 01 28.166
1980 07 02 27.854
1980 07 03 22.706
1980 07 04 21.976
1980 07 05 24.788
1980 07 06 26.363
1980 07 07 27.379
1980 07 08 28.044
1980 07 09 28.689
1980 07 10 26.808
1980 07 11 26.162
1980 07 12 27.607
1980 07 13 28.739
1980 07 14 29.914
1980 07 15 29.242
1980 07 16 27.148
1980 07 17 29.086
1980 07 18 30.645
1980 07 19 29.454
1980 07 20 30.054
1980 07 21 30.514
1980 07 22 31.128
1980 07 23 30.514
1980 07 24 30.278
1980 07 25 30.093
1980 07 26 30.221
1980 07 27 29.982
1980 07 28 30.409
1980 07 29 31.030
1980 07 30 31.081
1980 07 31 28.906
1980 08 01 20.806
1980 08 02 25.891
1980 08 03 29.357
1980 08 04 27.313
1980 08 05 30.727
1980 08 06 27.054
1980 08 07 30.279
1980 08 08 31.079
1980 08 09 29.077
1980 08 10 28.672
1980 08 11 28.447
1980 08 12 27.878
1980 08 13 28.586
1980 08 14 29.802
1980 08 15 27.180
1980 08 16 32.389
1980 08 17 31.883
1980 08 18 26.855
1980 08 19 33.200
1980 08 20 34.677
1980 08 21 34.512
1980 08 22 32.193
1980 08 23 29.594
1980 08 24 31.360
1980 08 25 32.073
1980 08 26 27.602
1980 08 27 24.132
1980 08 28 28.575
1980 08 29 29.234
1980 08 30 31.652
1980 08 31 32.730
1980 09 01 32.895
1980 09 02 33.763
1980 09 03 31.556
1980 09 04 27.099
1980 09 05 30.096
1980 09 06 30.270
1980 09 07 31.655
1980 09 08 32.739
1980 09 09 25.388
1980 09 10 26.253
1980 09 11 29.526
1980 09 12 30.183
1980 09 13 28.843
1980 09 14 30.407
1980 09 15 19.585
1980 09 16 16.351
1980 09 17 22.689
1980 09 18 23.969
1980 09 19 29.178
1980 09 20 31.123
1980 09 21 23.731
1980 09 22 25.723
1980 09 23 24.941
1980 09 24 27.370
1980 09 25 30.407
1980 09 26 29.146
1980 09 27 31.409
1980 09 28 22.365
1980 09 29 30.331
1980 09 30 32.578
1980 10 01 33.387
1980 10 02 32.422
1980 10 03 32.494
1980 10 04 33.250
1980 10 05 29.997
1980 10 06 31.959
1980 10 07 32.112
1980 10 08 29.889
1980 10 09 30.208
1980 10 10 31.451
1980 10 11 27.573
1980 10 12 26.471
1980 10 13 27.634
1980 10 14 28.015
1980 10 15 31.516
1980 10 16 31.706
1980 10 17 31.885
1980 10 18 34.648
1980 10 19 33.346
1980 10 20 33.385
1980 10 21 34.727
1980 10 22 29.583
1980 10 23 33.057
1980 10 24 30.567
1980 10 25 33.096
1980 10 26 34.298
1980 10 27 35.178
1980 10 28 34.531
1980 10 29 32.531
1980 10 30 29.698
1980 10 31 29.648
1980 11 01 30.014
1980 11 02 30.542
1980 11 03 31.576
1980 11 04 29.501
1980 11 05 27.342
1980 11 06 27.775
1980 11 07 25.188
1980 11 08 25.355
1980 11 09 25.233
1980 11 10 25.969
1980 11 11 26.018
1980 11 12 30.167
1980 11 13 30.148
1980 11 14 31.361
1980 11 15 31.035
1980 11 16 32.304
1980 11 17 32.146
1980 11 18 30.879
1980 11 19 28.476
1980 11 20 30.491
1980 11 21 30.548
1980 11 22 31.320
1980 11 23 27.089
1980 11 24 26.421
1980 11 25 29.368
1980 11 26 29.770
1980 11 27 30.273
1980 11 28 29.816
1980 11 29 28.308
1980 11 30 27.399
1980 12 01 26.132
1980 12 02 27.594
1980 12 03 27.807
1980 12 04 29.395
1980 12 05 29.448
1980 12 06 31.525
1980 12 07 30.652
1980 12 08 30.696
1980 12 09 29.374
1980 12 10 28.907
1980 12 11 29.937
1980 12 12 26.892
1980 12 13 29.232
1980 12 14 30.597
1980 12 15 29.665
1980 12 16 30.722
1980 12 17 30.660
1980 12 18 30.818
1980 12 19 26.770
1980 12 20 25.064
1980 12 21 27.522
1980 12 22 24.059
1980 12 23 25.721
1980 12 24 27.519
1980 12 25 28.513
1980 12 26 27.921
1980 12 27 27.855
1980 12 28 26.255
1980 12 29 29.460
1980 12 30 30.658
1980 12 31 30.128
1981 01 01 nan
1981 01 02 nan
1981 01 03 24.197
1981 01 04 27.309
1981 01 05 29.844
1981 01 06 31.172
1981 01 07 30.643
1981 01 08 30.774
1981 01 09 29.175
1981 01 10 30.105
1981 01 11 26.976
1981 01 12 27.180
1981 01 13 26.991
1981 01 14 27.944
1981 01 15 30.169
1981 01 16 29.368
1981 01 17 28.042
1981 01 18 29.785
1981 01 19 30.778
1981 01 20 30.043
1981 01 21 28.655
1981 01 22 26.768
1981 01 23 26.878
1981 01 24 29.359
1981 01 25 29.239
1981 01 26 28.524
1981 01 27 27.979
1981 01 28 27.197
1981 01 29 29.579
1981 01 30 31.174
1981 01 31 28.974
1981 02 01 30.773
1981 02 02 30.145
1981 02 03 31.817
1981 02 04 31.219
1981 02 05 30.638
1981 02 06 31.704
1981 02 07 32.147
1981 02 08 31.278
1981 02 09 30.421
1981 02 10 28.846
1981 02 11 29.585
1981 02 12 27.623
1981 02 13 29.219
1981 02 14 29.285
1981 02 15 30.557
1981 02 16 29.921
1981 02 17 30.063
1981 02 18 31.218
1981 02 19 31.745
1981 02 20 30.194
1981 02 21 26.760
1981 02 22 28.327
1981 02 23 28.164
1981 02 24 30.283
1981 02 25 30.093
1981 02 26 31.158
1981 02 27 32.207
1981 02 28 32.608
1981 03 01 33.396
1981 03 02 33.294
1981 03 03 32.203
1981 03 04 31.804
1981 03 05 29.190
1981 03 06 29.066
1981 03 07 30.396
1981 03 08 27.941
1981 03 09 30.041
1981 03 10 31.700
1981 03 11 30.813
1981 03 12 31.940
1981 03 13 32.325
1981 03 14 31.402
1981 03 15 30.804
1981 03 16 30.219
1981 03 17 28.532
1981 03 18 28.430
1981 03 19 27.402
1981 03 20 27.048
1981 03 21 29.519
1981 03 22 28.123
1981 03 23 25.807
1981 03 24 28.860
1981 03 25 29.383
1981 03 26 26.873
1981 03 27 25.499
1981 03 28 24.779
1981 03 29 29.866
1981 03 30 29.492
1981 03 31 31.132
1981 04 01 30.349
1981 04 02 30.029
1981 04 03 30.480
1981 04 04 30.385
