year month day temperature_max
1980 01 01 27.244
1980 01 02 25.314
1980 01 03 21.968
1980 01 04 27.980
1980 01 05 27.411
1980 01 06 27.406
1980 01 07 26.601
1980 01 08 27.623
1980 01 09 26.520
1980 01 10 28.825
1980 01 11 28.030
1980 01 12 25.282
1980 01 13 22.629
1980 01 14 21.271
1980 01 15 24.624
1980 01 16 24.321
1980 01 17 23.370
1980 01 18 26.929
1980 01 19 28.962
1980 01 20 29.478
1980 01 21 30.412
1980 01 22 30.812
1980 01 23 26.923
1980 01 24 30.081
1980 01 25 29.244
1980 01 26 29.243
1980 01 27 29.348
1980 01 28 29.355
1980 01 29 31.053
1980 01 30 28.254
1980 01 31 27.456
1980 02 01 28.811
1980 02 02 29.834
1980 02 03 29.417
1980 02 04 28.997
1980 02 05 28.753
1980 02 06 30.799
1980 02 07 30.947
1980 02 08 31.082
1980 02 09 30.191
1980 02 10 28.906
1980 02 11 28.970
1980 02 12 28.246
1980 02 13 30.150
1980 02 14 28.129
1980 02 15 28.088
1980 02 16 26.965
1980 02 17 24.210
1980 02 18 27.706
1980 02 19 23.176
1980 02 20 25.989
1980 02 21 27.067
1980 02 22 29.264
1980 02 23 28.944
1980 02 24 29.003
1980 02 25 28.680
1980 02 26 28.194
1980 02 27 29.256
1980 02 28 29.136
1980 02 29 28.300
1980 03 01 28.028
1980 03 02 27.888
1980 03 03 28.755
1980 03 04 28.894
1980 03 05 26.941
1980 03 06 26.983
1980 03 07 28.867
1980 03 08 28.994
1980 03 09 25.172
1980 03 10 28.971
1980 03 11 23.452
1980 03 12 28.261
1980 03 13 28.775
1980 03 14 28.167
1980 03 15 30.610
1980 03 16 28.854
1980 03 17 28.776
1980 03 18 27.952
1980 03 19 28.724
1980 03 20 28.037
1980 03 21 28.939
1980 03 22 29.761
1980 03 23 30.820
1980 03 24 29.986
1980 03 25 28.848
1980 03 26 29.031
1980 03 27 29.103
1980 03 28 29.456
1980 03 29 29.320
1980 03 30 31.064
1980 03 31 32.731
1980 04 01 29.091
1980 04 02 25.815
1980 04 03 25.589
1980 04 04 27.349
1980 04 05 26.281
1980 04 06 26.024
1980 04 07 26.471
1980 04 08 27.229
1980 04 09 26.025
1980 04 10 28.607
1980 04 11 27.255
1980 04 12 28.912
1980 04 13 29.652
1980 04 14 28.301
1980 04 15 28.515
1980 04 16 27.562
1980 04 17 26.496
1980 04 18 24.793
1980 04 19 26.398
1980 04 20 26.620
1980 04 21 25.544
1980 04 22 27.255
1980 04 23 28.203
1980 04 24 26.355
1980 04 25 25.756
1980 04 26 26.619
1980 04 27 25.414
1980 04 28 26.322
1980 04 29 25.603
1980 04 30 25.747
1980 05 01 26.122
1980 05 02 28.624
1980 05 03 28.699
1980 05 04 28.481
1980 05 05 26.679
1980 05 06 27.718
1980 05 07 27.629
1980 05 08 26.698
1980 05 09 25.901
1980 05 10 26.065
1980 05 11 25.257
1980 05 12 26.205
1980 05 13 25.944
1980 05 14 25.700
1980 05 15 25.721
1980 05 16 25.112
1980 05 17 27.017
1980 05 18 26.266
1980 05 19 25.172
1980 05 20 26.820
1980 05 21 26.881
1980 05 22 26.027
1980 05 23 26.121
1980 05 24 26.485
1980 05 25 24.041
1980 05 26 24.804
1980 05 27 24.771
1980 05 28 24.192
1980 05 29 24.934
1980 05 30 25.860
1980 05 31 26.013
1980 06 01 26.092
1980 06 02 26.148
1980 06 03 26.031
1980 06 04 25.603
1980 06 05 22.823
1980 06 06 22.952
1980 06 07 24.858
1980 06 08 25.841
1980 06 09 25.070
1980 06 10 25.029
1980 06 11 25.068
1980 06 12 26.132
1980 06 13 25.178
1980 06 14 26.094
1980 06 15 26.296
1980 06 16 24.712
1980 06 17 22.948
1980 06 18 22.082
1980 06 19 23.047
1980 06 20 23.846
1980 06 21 24.308
1980 06 22 21.844
1980 06 23 27.188
1980 06 24 22.285
1980 06 25 22.501
1980 06 26 23.584
1980 06 27 18.253
1980 06 28 24.498
1980 06 29 21.114
1980 06 30 23.157
1980 07 01 25.146
1980 07 02 25.942
1980 07 03 24.834
1980 07 04 23.802
1980 07 05 23.718
1980 07 06 23.583
1980 07 07 20.257
1980 07 08 23.378
1980 07 09 21.027
1980 07 10 27.343
1980 07 11 24.796
1980 07 12 25.045
1980 07 13 25.928
1980 07 14 25.193
1980 07 15 27.013
1980 07 16 27.316
1980 07 17 19.005
1980 07 18 23.363
1980 07 19 25.499
1980 07 20 24.818
1980 07 21 25.375
1980 07 22 28.148
1980 07 23 27.636
1980 07 24 27.246
1980 07 25 24.521
1980 07 26 23.956
1980 07 27 25.198
1980 07 28 26.008
1980 07 29 25.922
1980 07 30 25.977
1980 07 31 26.936
1980 08 01 26.757
1980 08 02 21.584
1980 08 03 21.756
1980 08 04 23.474
1980 08 05 23.766
1980 08 06 25.144
