year month day temperature_mean
1980 01 01 26.557
1980 01 02 27.177
1980 01 03 25.269
1980 01 04 26.149
1980 01 05 24.875
1980 01 06 23.869
1980 01 07 26.662
1980 01 08 26.520
1980 01 09 26.709
1980 01 10 26.843
1980 01 11 25.139
1980 01 12 25.254
1980 01 13 27.153
1980 01 14 25.444
1980 01 15 24.712
1980 01 16 22.288
1980 01 17 27.254
1980 01 18 25.964
1980 01 19 26.963
1980 01 20 27.032
1980 01 21 26.401
1980 01 22 27.437
1980 01 23 27.652
1980 01 24 27.401
1980 01 25 27.629
1980 01 26 27.621
1980 01 27 28.174
1980 01 28 27.686
1980 01 29 26.714
1980 01 30 23.965
1980 01 31 26.825
1980 02 01 24.924
1980 02 02 27.051
1980 02 03 25.986
1980 02 04 26.282
1980 02 05 25.939
1980 02 06 24.214
1980 02 07 26.514
1980 02 08 25.192
1980 02 09 24.826
1980 02 10 25.303
1980 02 11 24.889
1980 02 12 25.447
1980 02 13 24.736
1980 02 14 26.293
1980 02 15 24.541
1980 02 16 24.940
1980 02 17 24.870
1980 02 18 24.732
1980 02 19 25.132
1980 02 20 25.379
1980 02 21 25.330
1980 02 22 24.205
1980 02 23 25.717
1980 02 24 24.647
1980 02 25 25.905
1980 02 26 24.631
1980 02 27 25.730
1980 02 28 26.145
1980 02 29 25.599
1980 03 01 25.492
1980 03 02 25.088
1980 03 03 25.621
1980 03 04 26.679
1980 03 05 25.690
1980 03 06 16.631
1980 03 07 20.226
1980 03 08 23.038
1980 03 09 23.439
1980 03 10 25.844
1980 03 11 25.741
1980 03 12 25.267
1980 03 13 25.984
1980 03 14 25.982
1980 03 15 26.209
1980 03 16 26.382
1980 03 17 26.437
1980 03 18 25.243
1980 03 19 25.083
1980 03 20 25.632
1980 03 21 25.378
1980 03 22 25.827
1980 03 23 25.614
1980 03 24 26.977
1980 03 25 26.348
1980 03 26 25.846
1980 03 27 25.563
1980 03 28 25.804
1980 03 29 26.628
1980 03 30 26.792
1980 03 31 26.111
1980 04 01 27.106
1980 04 02 28.345
1980 04 03 28.389
1980 04 04 28.216
1980 04 05 26.455
1980 04 06 27.229
1980 04 07 27.741
1980 04 08 26.244
1980 04 09 26.197
1980 04 10 26.584
1980 04 11 27.009
1980 04 12 27.589
1980 04 13 27.574
1980 04 14 27.086
1980 04 15 27.369
1980 04 16 27.181
1980 04 17 27.386
1980 04 18 25.932
1980 04 19 25.910
1980 04 20 26.002
1980 04 21 26.448
1980 04 22 25.987
1980 04 23 25.666
1980 04 24 26.100
1980 04 25 26.562
1980 04 26 27.342
1980 04 27 26.910
1980 04 28 24.298
1980 04 29 25.853
1980 04 30 28.392
1980 05 01 26.997
1980 05 02 27.573
1980 05 03 28.385
1980 05 04 29.318
1980 05 05 28.344
1980 05 06 28.243
1980 05 07 26.743
1980 05 08 26.809
1980 05 09 26.995
1980 05 10 26.985
1980 05 11 26.888
1980 05 12 27.215
1980 05 13 27.018
1980 05 14 26.702
1980 05 15 26.944
1980 05 16 27.216
1980 05 17 26.251
1980 05 18 27.082
1980 05 19 27.841
1980 05 20 27.989
1980 05 21 27.314
1980 05 22 27.064
1980 05 23 27.035
1980 05 24 27.233
1980 05 25 26.865
1980 05 26 27.014
1980 05 27 26.786
1980 05 28 27.162
1980 05 29 26.209
1980 05 30 26.177
1980 05 31 27.536
1980 06 01 26.766
1980 06 02 27.117
1980 06 03 27.090
1980 06 04 28.038
1980 06 05 25.732
1980 06 06 26.366
1980 06 07 27.367
1980 06 08 25.707
1980 06 09 25.820
1980 06 10 26.829
1980 06 11 25.676
1980 06 12 24.660
1980 06 13 26.619
1980 06 14 26.693
1980 06 15 26.706
1980 06 16 27.703
1980 06 17 25.792
1980 06 18 25.523
1980 06 19 26.499
1980 06 20 27.670
1980 06 21 28.419
1980 06 22 27.357
1980 06 23 28.261
1980 06 24 28.229
1980 06 25 27.255
1980 06 26 26.444
1980 06 27 26.354
1980 06 28 26.749
1980 06 29 26.102
1980 06 30 26.419
1980 07 01 26.316
1980 07 02 26.231
1980 07 03 25.855
1980 07 04 25.148
1980 07 05 26.083
1980 07 06 25.049
1980 07 07 28.315
1980 07 08 25.249
1980 07 09 25.328
1980 07 10 25.392
1980 07 11 25.431
1980 07 12 25.949
1980 07 13 25.883
1980 07 14 26.922
1980 07 15 25.833
1980 07 16 26.982
1980 07 17 26.826
1980 07 18 25.285
1980 07 19 25.104
1980 07 20 25.078
1980 07 21 26.253
1980 07 22 26.106
1980 07 23 26.372
1980 07 24 26.423
1980 07 25 26.355
1980 07 26 26.241
1980 07 27 25.313
1980 07 28 26.370
1980 07 29 26.441
1980 07 30 26.247
1980 07 31 26.563
1980 08 01 27.925
1980 08 02 25.863
1980 08 03 25.663
1980 08 04 25.553
1980 08 05 24.770
1980 08 06 25.429
1980 08 07 25.141
1980 08 08 26.971
1980 08 09 27.265
1980 08 10 26.285
1980 08 11 26.218
1980 08 12 26.785
1980 08 13 25.473
1980 08 14 27.094
1980 08 15 25.788
1980 08 16 25.927
1980 08 17 27.519
1980 08 18 27.541
1980 08 19 27.936
1980 08 20 27.547
1980 08 21 27.869
1980 08 22 27.174
1980 08 23 27.354
1980 08 24 28.575
1980 08 25 28.954
1980 08 26 26.764
1980 08 27 27.316
1980 08 28 27.374
1980 08 29 26.870
1980 08 30 25.603
1980 08 31 26.948
1980 09 01 27.186
1980 09 02 28.077
1980 09 03 28.809
1980 09 04 31.075
