year month day temperature_mean
1980 01 01 22.509
1980 01 02 22.236
1980 01 03 22.130
1980 01 04 24.063
1980 01 05 23.957
1980 01 06 22.724
1980 01 07 23.812
1980 01 08 24.248
1980 01 09 22.699
1980 01 10 23.942
1980 01 11 23.932
1980 01 12 22.498
1980 01 13 19.688
1980 01 14 19.827
1980 01 15 21.617
1980 01 16 21.602
1980 01 17 20.139
1980 01 18 22.020
1980 01 19 24.316
1980 01 20 24.791
1980 01 21 24.413
1980 01 22 25.056
1980 01 23 22.506
1980 01 24 24.665
1980 01 25 24.376
1980 01 26 24.134
1980 01 27 23.357
1980 01 28 24.507
1980 01 29 24.121
1980 01 30 23.884
1980 01 31 23.990
1980 02 01 24.276
1980 02 02 24.376
1980 02 03 23.352
1980 02 04 23.396
1980 02 05 24.057
1980 02 06 25.572
1980 02 07 25.888
1980 02 08 26.150
1980 02 09 24.989
1980 02 10 24.800
1980 02 11 23.621
1980 02 12 23.322
1980 02 13 22.374
1980 02 14 22.893
1980 02 15 21.267
1980 02 16 19.860
1980 02 17 20.561
1980 02 18 20.479
1980 02 19 19.927
1980 02 20 24.291
1980 02 21 24.159
1980 02 22 24.096
1980 02 23 25.047
1980 02 24 24.373
1980 02 25 23.593
1980 02 26 24.564
1980 02 27 24.536
1980 02 28 25.501
1980 02 29 24.517
1980 03 01 23.132
1980 03 02 23.618
1980 03 03 23.910
1980 03 04 24.062
1980 03 05 23.421
1980 03 06 22.757
1980 03 07 24.377
1980 03 08 23.808
1980 03 09 22.783
1980 03 10 23.681
1980 03 11 23.793
1980 03 12 24.266
1980 03 13 22.513
1980 03 14 24.709
1980 03 15 24.483
1980 03 16 23.890
1980 03 17 23.872
1980 03 18 24.030
1980 03 19 23.102
1980 03 20 21.918
1980 03 21 22.233
1980 03 22 22.812
1980 03 23 23.244
1980 03 24 23.127
1980 03 25 22.349
1980 03 26 23.422
1980 03 27 22.751
1980 03 28 23.063
1980 03 29 23.626
1980 03 30 23.759
1980 03 31 23.918
1980 04 01 25.565
1980 04 02 24.856
1980 04 03 22.480
1980 04 04 22.798
1980 04 05 22.852
1980 04 06 22.934
1980 04 07 23.239
1980 04 08 23.042
1980 04 09 23.435
1980 04 10 24.013
1980 04 11 24.749
1980 04 12 22.945
1980 04 13 25.435
1980 04 14 24.455
1980 04 15 24.370
1980 04 16 22.765
1980 04 17 23.803
1980 04 18 22.184
1980 04 19 23.080
1980 04 20 22.526
1980 04 21 22.581
1980 04 22 23.704
1980 04 23 22.615
1980 04 24 22.446
1980 04 25 22.159
1980 04 26 22.403
1980 04 27 21.150
1980 04 28 21.869
1980 04 29 22.428
1980 04 30 22.067
1980 05 01 22.598
1980 05 02 22.519
1980 05 03 24.151
1980 05 04 23.150
1980 05 05 20.875
1980 05 06 23.259
1980 05 07 21.848
1980 05 08 21.711
1980 05 09 21.023
1980 05 10 20.325
1980 05 11 21.031
1980 05 12 20.818
1980 05 13 21.231
1980 05 14 20.654
1980 05 15 21.005
1980 05 16 20.692
1980 05 17 21.516
1980 05 18 21.897
1980 05 19 21.514
1980 05 20 21.811
1980 05 21 21.041
1980 05 22 20.883
1980 05 23 20.794
1980 05 24 20.341
1980 05 25 19.774
1980 05 26 20.190
1980 05 27 20.605
1980 05 28 19.807
1980 05 29 22.129
1980 05 30 20.463
1980 05 31 20.429
1980 06 01 18.422
1980 06 02 20.685
1980 06 03 21.086
1980 06 04 19.907
1980 06 05 20.655
1980 06 06 19.127
1980 06 07 18.927
1980 06 08 21.211
1980 06 09 20.417
1980 06 10 19.399
1980 06 11 20.302
1980 06 12 17.427
1980 06 13 19.078
1980 06 14 20.808
1980 06 15 19.951
1980 06 16 19.908
1980 06 17 17.274
1980 06 18 19.396
1980 06 19 17.621
1980 06 20 19.705
1980 06 21 20.468
1980 06 22 21.613
1980 06 23 18.782
1980 06 24 21.999
1980 06 25 20.339
1980 06 26 21.274
1980 06 27 19.842
1980 06 28 18.285
1980 06 29 18.950
1980 06 30 18.572
1980 07 01 17.710
1980 07 02 19.663
1980 07 03 18.964
1980 07 04 19.435
1980 07 05 18.892
1980 07 06 18.537
1980 07 07 17.678
1980 07 08 17.871
1980 07 09 17.297
1980 07 10 16.956
1980 07 11 18.425
1980 07 12 18.475
1980 07 13 18.488
1980 07 14 19.038
1980 07 15 20.491
1980 07 16 21.522
1980 07 17 18.047
1980 07 18 18.687
1980 07 19 18.996
1980 07 20 18.706
