year month day temperature_mean
1980 01 01 26.320
1980 01 02 28.278
1980 01 03 26.317
1980 01 04 25.833
1980 01 05 25.744
1980 01 06 26.495
1980 01 07 26.553
1980 01 08 25.867
1980 01 09 26.321
1980 01 10 25.280
1980 01 11 25.957
1980 01 12 23.730
1980 01 13 27.044
1980 01 14 26.314
1980 01 15 23.818
1980 01 16 26.541
1980 01 17 26.315
1980 01 18 26.809
1980 01 19 26.264
1980 01 20 25.318
1980 01 21 24.352
1980 01 22 27.302
1980 01 23 27.303
1980 01 24 25.818
1980 01 25 26.777
1980 01 26 26.331
1980 01 27 25.829
1980 01 28 25.335
1980 01 29 26.316
1980 01 30 26.313
1980 01 31 26.823
1980 02 01 25.749
1980 02 02 26.742
1980 02 03 27.240
1980 02 04 26.250
1980 02 05 26.742
1980 02 06 24.264
1980 02 07 24.246
1980 02 08 23.759
1980 02 09 24.736
1980 02 10 25.220
1980 02 11 26.225
1980 02 12 24.764
1980 02 13 24.758
1980 02 14 26.207
1980 02 15 24.239
1980 02 16 24.726
1980 02 17 23.865
1980 02 18 23.481
1980 02 19 25.204
1980 02 20 23.624
1980 02 21 24.731
1980 02 22 24.216
1980 02 23 24.224
1980 02 24 24.201
1980 02 25 25.213
1980 02 26 23.479
1980 02 27 24.314
1980 02 28 24.757
1980 02 29 25.220
1980 03 01 24.706
1980 03 02 24.730
1980 03 03 23.813
1980 03 04 24.223
1980 03 05 23.248
1980 03 06 23.245
1980 03 07 25.195
1980 03 08 24.198
1980 03 09 25.202
1980 03 10 25.517
1980 03 11 24.726
1980 03 12 24.245
1980 03 13 25.228
1980 03 14 25.713
1980 03 15 25.221
1980 03 16 26.203
1980 03 17 24.248
1980 03 18 24.731
1980 03 19 25.209
1980 03 20 25.318
1980 03 21 25.722
1980 03 22 25.218
1980 03 23 24.661
1980 03 24 25.723
1980 03 25 24.738
1980 03 26 25.227
1980 03 27 24.246
1980 03 28 24.745
1980 03 29 25.227
1980 03 30 24.747
1980 03 31 24.248
1980 04 01 24.266
1980 04 02 25.251
1980 04 03 25.742
1980 04 04 26.726
1980 04 05 24.249
1980 04 06 25.243
1980 04 07 25.751
1980 04 08 25.238
1980 04 09 26.728
1980 04 10 24.762
1980 04 11 25.259
1980 04 12 26.744
1980 04 13 25.254
1980 04 14 23.776
1980 04 15 24.767
1980 04 16 25.770
1980 04 17 26.730
1980 04 18 26.228
1980 04 19 25.739
1980 04 20 23.284
1980 04 21 25.246
1980 04 22 25.750
1980 04 23 25.723
1980 04 24 26.707
1980 04 25 25.722
1980 04 26 25.727
1980 04 27 26.713
1980 04 28 26.212
1980 04 29 26.233
1980 04 30 25.751
1980 05 01 26.064
1980 05 02 26.209
1980 05 03 27.687
1980 05 04 27.208
1980 05 05 26.221
1980 05 06 27.694
1980 05 07 26.711
1980 05 08 25.215
1980 05 09 27.191
1980 05 10 25.217
1980 05 11 26.710
1980 05 12 26.211
1980 05 13 26.211
1980 05 14 26.189
1980 05 15 30.570
1980 05 16 26.195
1980 05 17 25.226
1980 05 18 25.707
1980 05 19 26.697
1980 05 20 26.216
1980 05 21 27.191
1980 05 22 25.712
1980 05 23 25.227
1980 05 24 26.699
1980 05 25 27.698
1980 05 26 26.683
1980 05 27 25.699
1980 05 28 26.207
1980 05 29 25.698
1980 05 30 25.702
1980 05 31 25.714
1980 06 01 25.791
1980 06 02 25.779
1980 06 03 25.795
1980 06 04 25.299
1980 06 05 27.254
1980 06 06 27.247
1980 06 07 25.741
1980 06 08 25.266
1980 06 09 26.249
1980 06 10 24.762
1980 06 11 22.302
1980 06 12 23.770
1980 06 13 24.293
1980 06 14 23.761
1980 06 15 22.312
1980 06 16 26.255
1980 06 17 29.198
1980 06 18 24.773
1980 06 19 24.747
